# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.139 us    |  init_once();
 0)   0.131 us    |  init_once();
 0)   0.129 us    |  init_once();
 0)   0.132 us    |  init_once();
 0)   0.140 us    |  init_once();
 0)   0.128 us    |  init_once();
 0)   0.129 us    |  init_once();
 0)   0.129 us    |  init_once();
 0)   0.126 us    |  init_once();
 0)   0.128 us    |  init_once();
 0)   0.128 us    |  init_once();
 0)   0.127 us    |  init_once();
 0)   0.125 us    |  init_once();
 0)   0.125 us    |  init_once();
 0)   0.124 us    |  init_once();
 0)   0.126 us    |  init_once();
 0)   0.136 us    |  init_once();
 0)   0.127 us    |  init_once();
 0)   0.127 us    |  init_once();
 0)   0.126 us    |  init_once();
 0)   0.124 us    |  init_once();
 0)   0.124 us    |  init_once();
 0)   0.127 us    |  init_once();
 0)   0.126 us    |  init_once();
 0)   0.129 us    |  init_once();
 5) * 10892.97 us |  sealfs_write [sealfs]();
 ------------------------------------------
 1)  collect-1284  => ros1sea-314283
 ------------------------------------------

 1) * 13101.90 us |  sealfs_write [sealfs]();
 1) * 11665.65 us |  sealfs_write [sealfs]();
 1) * 12810.89 us |  sealfs_write [sealfs]();
 1) * 13728.46 us |  sealfs_write [sealfs]();
 ------------------------------------------
 7) openvpn-318229 => ros1sea-314283
 ------------------------------------------

 7) * 10333.50 us |  sealfs_write [sealfs]();
 ------------------------------------------
 1) ros1sea-314283 =>   <...>-2099  
 ------------------------------------------

 1)   1.289 us    |  sealfs_show_options [sealfs]();
 1)   0.812 us    |  sealfs_show_options [sealfs]();
 1)   0.612 us    |  sealfs_show_options [sealfs]();
 1)   0.557 us    |  sealfs_show_options [sealfs]();
 1)   0.565 us    |  sealfs_show_options [sealfs]();
 7) * 10017.36 us |  sealfs_write [sealfs]();
 7) * 10179.01 us |  sealfs_write [sealfs]();
 7) # 9847.781 us |  sealfs_write [sealfs]();
 7) # 9929.966 us |  sealfs_write [sealfs]();
 7) * 10321.21 us |  sealfs_write [sealfs]();
 7) * 10070.48 us |  sealfs_write [sealfs]();
 ------------------------------------------
 1)   <...>-2099   => ros1sea-314283
 ------------------------------------------

 1) * 11001.00 us |  sealfs_write [sealfs]();
