# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 4) + 10.255 us   |  ext4_file_write_iter();
 7)   1.844 us    |  ext4_file_write_iter();
 7)   1.765 us    |  ext4_file_write_iter();
 7)   1.883 us    |  ext4_file_write_iter();
 7)   2.044 us    |  ext4_file_write_iter();
 7)   1.788 us    |  ext4_file_write_iter();
 7)   2.112 us    |  ext4_file_write_iter();
 7)   1.782 us    |  ext4_file_write_iter();
 7)   2.082 us    |  ext4_file_write_iter();
 7)   1.742 us    |  ext4_file_write_iter();
 7)   1.770 us    |  ext4_file_write_iter();
 7)   1.783 us    |  ext4_file_write_iter();
 7)   2.582 us    |  ext4_file_write_iter();
 7)   1.836 us    |  ext4_file_write_iter();
 7)   1.821 us    |  ext4_file_write_iter();
 7)   1.887 us    |  ext4_file_write_iter();
 7)   1.921 us    |  ext4_file_write_iter();
 7)   1.796 us    |  ext4_file_write_iter();
 7)   1.823 us    |  ext4_file_write_iter();
 7)   1.833 us    |  ext4_file_write_iter();
 7)   1.753 us    |  ext4_file_write_iter();
 7)   1.709 us    |  ext4_file_write_iter();
 7)   2.188 us    |  ext4_file_write_iter();
 7)   1.970 us    |  ext4_file_write_iter();
 7)   1.851 us    |  ext4_file_write_iter();
 7)   1.942 us    |  ext4_file_write_iter();
 7)   1.904 us    |  ext4_file_write_iter();
 7)   1.820 us    |  ext4_file_write_iter();
 7)   2.111 us    |  ext4_file_write_iter();
 7)   1.898 us    |  ext4_file_write_iter();
 7)   1.849 us    |  ext4_file_write_iter();
 7)   1.858 us    |  ext4_file_write_iter();
 7)   2.073 us    |  ext4_file_write_iter();
 7)   2.293 us    |  ext4_file_write_iter();
 7)   1.981 us    |  ext4_file_write_iter();
 7)   1.841 us    |  ext4_file_write_iter();
 7)   1.890 us    |  ext4_file_write_iter();
 7)   1.805 us    |  ext4_file_write_iter();
 7)   1.855 us    |  ext4_file_write_iter();
 7)   1.980 us    |  ext4_file_write_iter();
 7)   1.811 us    |  ext4_file_write_iter();
 7)   1.814 us    |  ext4_file_write_iter();
 7)   2.124 us    |  ext4_file_write_iter();
 7)   2.356 us    |  ext4_file_write_iter();
 7)   2.014 us    |  ext4_file_write_iter();
 7)   2.284 us    |  ext4_file_write_iter();
 7)   1.911 us    |  ext4_file_write_iter();
 7)   1.804 us    |  ext4_file_write_iter();
 7)   1.715 us    |  ext4_file_write_iter();
 7)   1.733 us    |  ext4_file_write_iter();
 7)   1.806 us    |  ext4_file_write_iter();
 7)   1.757 us    |  ext4_file_write_iter();
 7)   1.897 us    |  ext4_file_write_iter();
 7)   1.845 us    |  ext4_file_write_iter();
 7)   1.725 us    |  ext4_file_write_iter();
 7) + 17.495 us   |  ext4_file_write_iter();
 7)   1.779 us    |  ext4_file_write_iter();
 7)   1.808 us    |  ext4_file_write_iter();
 7)   1.962 us    |  ext4_file_write_iter();
 7)   1.737 us    |  ext4_file_write_iter();
 7)   2.048 us    |  ext4_file_write_iter();
 7)   1.784 us    |  ext4_file_write_iter();
 7)   1.810 us    |  ext4_file_write_iter();
 7)   2.019 us    |  ext4_file_write_iter();
 7)   1.798 us    |  ext4_file_write_iter();
 7)   2.371 us    |  ext4_file_write_iter();
 7)   2.242 us    |  ext4_file_write_iter();
