Summit Throughtput on All Tests,Bandwidth (kB/s)
ext4_video,10285.51
ext4_video,10285.43
ext4_video,10285.33
ext4_video,10285.3
ext4_video,10285.04
ext4_video,10285.01
ext4_video,10284.72
ext4_video,10284.68
ext4_video,10284.59
ext4_video,10284.46
ext4_video,10284.43
ext4_video,10284.4
ext4_video,10283.9
ext4_video,10283.71
ext4_video,10283.61
ext4_video,10283.54
ext4_video,10282.85
ext4_video,10282.71
sealfs_video,10282.67
ext4_video,10282.54
ext4_video,10282.45
ext4_video,10282.45
ext4_video,10282.43
ext4_video,10282.43
sealfs_video,10282.31
ext4_video,10281.91
sealfs_video,10281.9
ext4_video,10281.87
ext4_video,10281.86
ext4_video,10281.51
ext4_video,10280.82
ext4_video,10280.64
ext4_video,10280.58
ext4_video,10280.48
ext4_video,10280.27
sealfs_video,10280.05
sealfs_video,10279.99
ext4_video,10279.6
ext4_video,10279.05
ext4_video,10278.99
ext4_video,10278.92
ext4_video,10278.87
ext4_video,10278.76
sealfs_video,10278.7
ext4_video,10278.64
ext4_video,10278.14
ext4_video,10278.09
sealfs_video,10278
ext4_video,10277.86
ext4_video,10277.8
ext4_video,10277.75
ext4_video,10277.73
ext4_video,10276.93
ext4_video,10276.74
ext4_video,10276.13
ext4_video,10276
ext4_video,10275.72
ext4_video,10275.61
ext4_video,10275.29
ext4_video,10275.27
sealfs_video,10275.07
ext4_video,10274.95
ext4_video,10274.88
ext4_video,10274.44
ext4_video,10274.35
ext4_video,10274.25
sealfs_video,10274.13
ext4_video,10273.79
ext4_video,10273.66
ext4_video,10273.34
ext4_video,10272.89
ext4_video,10272.63
ext4_video,10272.47
ext4_video,10272.37
ext4_video,10272.34
ext4_video,10272.08
ext4_video,10271.77
sealfs_video,10271.52
ext4_video,10271.47
ext4_video,10271.26
ext4_video,10270.82
ext4_video,10270.23
ext4_video,10270.22
ext4_video,10270.19
ext4_video,10269.75
ext4_video,10269.56
ext4_video,10269.54
ext4_video,10269.22
ext4_video,10268.81
ext4_video,10268.76
ext4_video,10268.73
ext4_video,10268.66
ext4_video,10268.66
ext4_video,10268.49
ext4_video,10268.32
sealfs_video,10268.18
ext4_video,10268.15
ext4_video,10267.66
ext4_video,10267.44
ext4_video,10267.25
sealfs_video,10267.21
ext4_video,10266.69
ext4_video,10266.68
ext4_video,10266.59
ext4_video,10266.53
ext4_video,10266.43
ext4_video,10265.23
ext4_video,10265.14
sealfs_video,10264.97
ext4_video,10264.55
ext4_video,10264.44
ext4_video,10264.37
