Summit Bandwidth in Audio Test,bandwidth (kB/s)
ext4,119.79
ext4,119.73
ext4,112
ext4,123.73
ext4,119.87
ext4,112.02
ext4,119.74
ext4,119.87
ext4,115.92
ext4,119.83
ext4,119.71
ext4,115.32
ext4,115.88
ext4,119.77
ext4,119.84
ext4,119.79
ext4,112.07
ext4,119.83
ext4,123.43
ext4,112.08
ext4,119.8
ext4,119.79
ext4,112.1
ext4,123.79
ext4,119.87
ext4,115.98
ext4,115.96
ext4,119.83
ext4,119.85
ext4,115.96
ext4,115.93
ext4,119.73
ext4,115.99
ext4,119.88
ext4,119.76
ext4,119.83
ext4,112
ext4,119.9
ext4,123.79
ext4,111.3
ext4,119.7
ext4,119.7
ext4,119.7
ext4,115.86
ext4,119.78
ext4,115.94
ext4,115.99
ext4,119.75
ext4,119.81
ext4,119.77
ext4,111.78
ext4,119.82
ext4,119.77
ext4,115.89
ext4,119.88
ext4,119.75
ext4,112.09
ext4,119.79
ext4,126.6
ext4,119.51
ext4,112.16
ext4,119.76
ext4,115.92
ext4,123.68
ext4,115.89
ext4,115.74
ext4,119.86
ext4,112.08
ext4,123.62
ext4,119.75
ext4,119.77
ext4,112.14
ext4,119.79
ext4,123.65
ext4,112.12
ext4,119.79
ext4,119.82
ext4,111.98
ext4,123.28
ext4,119.75
ext4,115.9
ext4,115.84
ext4,123.64
ext4,119.83
ext4,115.79
ext4,115.66
ext4,119.77
ext4,123.69
ext4,112
ext4,119.9
ext4,119.84
ext4,112.07
ext4,123.69
ext4,119.77
ext4,115.93
ext4,115.91
ext4,119.82
ext4,119.84
ext4,115.97
ext4,115.88
ext4,119.8
ext4,115.99
ext4,119.81
ext4,119.75
ext4,119.69
ext4,112.05
ext4,119.88
ext4,123.55
ext4,111.99
ext4,119.7
ext4,119.46
ext4,119.88
ext4,115.87
ext4,119.8
ext4,116.04
ext4,115.92
ext4,119.31
ext4,119.78
ext4,119.77
ext4,112.06
ext4,119.83
ext4,119.8
ext4,115.94
ext4,119.78
ext4,119.75
ext4,112.06
ext4,119.65
ext4,123.59
ext4,119.71
ext4,112.01
ext4,119.74
ext4,115.9
ext4,119.81
ext4,119.72
ext4,115.94
ext4,119.81
ext4,111.97
ext4,123.64
ext4,119.72
ext4,111.78
ext4,119.78
ext4,119.79
ext4,123.8
ext4,112.15
ext4,119.54
ext4,119.9
ext4,93.73
ext4,116.09
ext4,119.92
ext4,123.75
ext4,115.1
ext4,119.85
ext4,116.03
ext4,119.92
ext4,115.8
ext4,119.85
ext4,119.99
ext4,112.23
ext4,119.49
ext4,123.81
ext4,112.14
ext4,120.01
ext4,119.85
ext4,112.13
ext4,123.79
ext4,119.89
ext4,112.13
ext4,119.8
ext4,119.91
ext4,119.93
ext4,116.01
ext4,116.08
ext4,119.92
ext4,116
ext4,119.93
ext4,119.99
ext4,112.18
ext4,119.97
ext4,119.83
ext4,116.09
ext4,119.88
ext4,119.98
ext4,112.21
ext4,119.9
ext4,123.75
ext4,111.92
ext4,119.87
ext4,119.73
ext4,119.87
ext4,115.96
ext4,119.87
ext4,116.02
ext4,116.15
ext4,123.73
ext4,116.12
ext4,116.03
ext4,116.07
ext4,119.94
ext4,119.91
ext4,116.02
ext4,119.92
ext4,112.13
ext4,119.91
ext4,123.74
ext4,112.15
ext4,119.89
ext4,119.94
ext4,119.58
ext4,116.03
ext4,119.87
ext4,119.81
ext4,112.16
ext4,119.85
ext4,119.87
ext4,115.88
ext4,119.84
ext4,115.99
ext4,116.02
ext4,119.96
ext4,119.92
ext4,119.9
ext4,112.13
ext4,120.02
ext4,127.72
ext4,112.18
ext4,119.94
ext4,119.92
ext4,112.23
ext4,123.72
ext4,119.89
ext4,112.18
ext4,119.1
ext4,119.9
ext4,119.95
ext4,115.98
ext4,119.95
ext4,116.04
ext4,116.07
ext4,119.87
ext4,119.63
ext4,116.16
ext4,116.05
ext4,119.93
ext4,116.06
ext4,119.88
ext4,119.87
ext4,112.13
ext4,119.88
ext4,123.8
ext4,119.88
ext4,111.53
ext4,119.79
ext4,119.87
ext4,116.01
ext4,119.91
ext4,116.06
ext4,116.08
ext4,119.89
ext4,119.96
ext4,119.88
ext4,111.24
ext4,120.01
ext4,119.93
ext4,116.06
ext4,119.91
ext4,119.93
ext4,111.9
ext4,119.91
ext4,123.72
ext4,112.22
ext4,119.8
ext4,119.93
ext4,119.99
ext4,119.88
ext4,119.83
ext4,115.69
ext4,116.02
ext4,119.94
ext4,119.9
ext4,115.97
ext4,116.12
ext4,119.96
ext4,116.06
ext4,119.82
ext4,119.83
ext4,119.86
ext4,111.86
ext4,119.88
ext4,123.3
ext4,112.11
ext4,119.82
ext4,119.5
ext4,119.88
ext4,116.06
ext4,119.89
ext4,116.11
ext4,115.6
ext4,123.78
ext4,119.92
ext4,116.08
ext4,116
ext4,119.89
ext4,116.1
ext4,119.91
ext4,119.65
ext4,112.11
ext4,119.84
ext4,123.77
ext4,119.18
ext4,112.18
ext4,119.94
ext4,119.88
ext4,119.01
ext4,116.03
ext4,119.89
ext4,116.03
ext4,115.99
ext4,119.86
ext4,119.9
ext4,116.05
ext4,116.02
ext4,119.96
ext4,116.02
ext4,119.89
ext4,119.81
ext4,112.14
sealfs,91.74
sealfs,112.24
sealfs,119.91
sealfs,123.82
sealfs,119.8
sealfs,123.67
sealfs,119.85
sealfs,119.84
sealfs,116.13
sealfs,127.54
sealfs,115.92
sealfs,119.94
sealfs,119
sealfs,115.87
sealfs,130.83
sealfs,115.99
sealfs,119.83
sealfs,119.96
sealfs,112.2
sealfs,131.66
sealfs,119.85
sealfs,112.15
sealfs,123.71
sealfs,119.08
sealfs,127.59
sealfs,116.12
sealfs,119.3
sealfs,123.75
sealfs,116.05
sealfs,123.71
sealfs,119.99
sealfs,119.9
sealfs,116.08
sealfs,119.47
sealfs,135.47
sealfs,112.21
sealfs,123
sealfs,118.99
sealfs,123.33
sealfs,127.26
sealfs,112.01
sealfs,123.26
sealfs,115.59
sealfs,118.89
