Summit Throughtput on Video Test,Bandwidth (kB/s)
ext4,10143.25
ext4,10143.06
ext4,10142.07
ext4,10141.66
ext4,10141.31
ext4,10140.56
sealfs,10140.13
ext4,10138.83
ext4,10138.82
ext4,10138.77
ext4,10138.61
ext4,10138.45
ext4,10138.07
ext4,10137.88
ext4,10137.65
ext4,10137.63
sealfs,10137.34
ext4,10135.06
ext4,10134.79
ext4,10134.59
ext4,10133.07
ext4,10132.41
sealfs,10131.17
ext4,10130.47
ext4,10130.42
ext4,10129.67
sealfs,10129.25
sealfs,10129.25
ext4,10128.61
sealfs,10128.19
sealfs,10128.04
sealfs,10127.95
ext4,10127.87
sealfs,10126.6
sealfs,10126.59
sealfs,10125.62
sealfs,10125.36
ext4,10124.86
sealfs,10124.73
ext4,10124.63
ext4,10124.28
sealfs,10124.22
ext4,10124.13
sealfs,10123.97
ext4,10123.76
sealfs,10123.66
sealfs,10123.07
ext4,10122.71
ext4,10122.61
sealfs,10122.48
ext4,10122.25
sealfs,10122.23
ext4,10122.12
ext4,10122.07
sealfs,10121.05
sealfs,10120.58
ext4,10120.47
ext4,10120.27
sealfs,10119.69
ext4,10119.26
sealfs,10119.15
sealfs,10119.07
sealfs,10118.92
sealfs,10118.61
ext4,10117.99
ext4,10117.41
sealfs,10117.38
ext4,10117.02
sealfs,10116.97
sealfs,10116.96
sealfs,10116.42
ext4,10116.38
ext4,10115.71
sealfs,10115.67
sealfs,10115.61
sealfs,10115.36
sealfs,10115.11
sealfs,10114.95
sealfs,10114.75
ext4,10114.58
sealfs,10114.55
sealfs,10114.4
ext4,10114.19
sealfs,10113.72
ext4,10113.59
sealfs,10113.54
ext4,10113.39
sealfs,10113.05
sealfs,10113.04
ext4,10112.89
sealfs,10112.1
ext4,10112.05
ext4,10111.93
ext4,10111.43
sealfs,10111.42
sealfs,10111.15
sealfs,10111.13
sealfs,10110.81
sealfs,10110.36
sealfs,10110.06
sealfs,10109.85
ext4,10109.62
sealfs,10109.54
sealfs,10109.42
sealfs,10109.35
sealfs,10109.28
sealfs,10109.12
sealfs,10108.49
sealfs,10108.37
sealfs,10108.06
ext4,10108.02
sealfs,10107.99
ext4,10107.96
sealfs,10107.96
sealfs,10107.82
sealfs,10107.71
sealfs,10107.42
ext4,10107.23
sealfs,10107.19
ext4,10106.96
sealfs,10106.96
sealfs,10106.95
sealfs,10106.91
sealfs,10106.82
ext4,10106.79
sealfs,10106.48
ext4,10106.18
sealfs,10106.11
sealfs,10106.01
sealfs,10106
sealfs,10105.99
sealfs,10105.8
sealfs,10105.44
ext4,10105.33
sealfs,10104.97
ext4,10104.91
sealfs,10104.79
ext4,10104.51
ext4,10104.43
sealfs,10104.19
ext4,10104.08
sealfs,10103.94
sealfs,10103.78
sealfs,10103.69
ext4,10103.67
sealfs,10103.45
ext4,10103.39
ext4,10103.3
ext4,10103.05
sealfs,10102.89
sealfs,10102.78
sealfs,10102.77
sealfs,10102.75
sealfs,10102.53
sealfs,10102.49
ext4,10102.45
ext4,10102.44
sealfs,10102.2
ext4,10102.09
ext4,10102.09
sealfs,10102.04
ext4,10101.97
ext4,10101.87
ext4,10101.82
sealfs,10101.71
ext4,10101.32
ext4,10101.13
sealfs,10100.92
ext4,10100.78
sealfs,10100.58
ext4,10100.44
sealfs,10100.32
sealfs,10100.16
sealfs,10100.13
sealfs,10100.08
ext4,10099.81
ext4,10099.64
sealfs,10099.47
ext4,10099.45
sealfs,10099.36
ext4,10099.27
sealfs,10099.19
ext4,10099.17
sealfs,10098.77
sealfs,10098.4
ext4,10098.31
ext4,10098.29
sealfs,10098.08
ext4,10097.93
sealfs,10097.89
ext4,10097.88
sealfs,10097.46
sealfs,10097.46
ext4,10097.37
sealfs,10097.35
sealfs,10097.2
sealfs,10097.11
sealfs,10096.89
sealfs,10096.44
ext4,10096.37
sealfs,10096.19
ext4,10095.66
ext4,10095.64
sealfs,10095.4
ext4,10095.07
sealfs,10095.07
sealfs,10094.5
sealfs,10094.5
sealfs,10094.49
sealfs,10094.45
sealfs,10094.39
sealfs,10094.09
ext4,10094.03
sealfs,10093.77
sealfs,10093.72
sealfs,10093.13
sealfs,10093.11
sealfs,10092.5
sealfs,10092.4
sealfs,10092.1
sealfs,10091.94
sealfs,10091.77
sealfs,10091.4
sealfs,10091
sealfs,10090.74
sealfs,10090.26
sealfs,10089.78
sealfs,10089.71
sealfs,10089.67
sealfs,10089.65
sealfs,10089.62
ext4,10089.53
sealfs,10089.5
sealfs,10089.46
sealfs,10089.37
sealfs,10089.17
sealfs,10089.12
sealfs,10088.98
sealfs,10088.9
sealfs,10088.81
sealfs,10088.73
sealfs,10088.67
sealfs,10088.62
sealfs,10087.49
sealfs,10087.28
sealfs,10087.27
sealfs,10086.84
sealfs,10086.75
sealfs,10086.36
sealfs,10086.09
sealfs,10085.91
ext4,10085.88
sealfs,10085.8
sealfs,10085.72
sealfs,10085.43
sealfs,10085.24
ext4,10084.9
ext4,10084.7
sealfs,10084.69
sealfs,10084.12
ext4,10084.01
sealfs,10083.92
sealfs,10083.83
sealfs,10082.94
ext4,10082.91
sealfs,10082.5
sealfs,10082.14
sealfs,10081.58
sealfs,10081.22
sealfs,10081.05
ext4,10080.5
ext4,10080.32
sealfs,10077.63
sealfs,10077.4
sealfs,10076.01
sealfs,10074.92
sealfs,10074.78
sealfs,10073.38
sealfs,10072.99
sealfs,10071.82
sealfs,10071.72
sealfs,10071.56
sealfs,10070.7
sealfs,10070.63
sealfs,10068.94
sealfs,10068.36
sealfs,10067.65
sealfs,10066.72
ext4,10066.58
sealfs,10065.19
sealfs,10064.75
sealfs,10064.64
ext4,10064.25
sealfs,10063.63
sealfs,10062.37
sealfs,10061.65
sealfs,10060.63
ext4,10060.36
sealfs,10060.17
sealfs,10059.86
sealfs,10059.75
sealfs,10059.51
sealfs,10059.02
sealfs,10057.78
sealfs,10057.08
sealfs,10056.03
sealfs,10055.62
sealfs,10055.58
sealfs,10055.05
sealfs,10054.47
sealfs,10053.75
ext4,10053.32
sealfs,10051.22
sealfs,10050.63
sealfs,10049.46
sealfs,10047.69
sealfs,10046.75
sealfs,10046.67
sealfs,10046.56
sealfs,10045.99
sealfs,10045.71
ext4,10045.66
sealfs,10041.91
sealfs,10038.5
sealfs,10032.79
sealfs,10031.35
ext4,10028.83
ext4,10028.56
sealfs,10026.53
sealfs,10022.76
sealfs,10020.69
sealfs,10018.99
sealfs,10017.56
sealfs,10005.62
ext4,10003.34
sealfs,10002.77
ext4,10001.83
sealfs,9998.66
sealfs,9998.3
sealfs,9994.1
sealfs,9988.96
sealfs,9988.8
ext4,9986.17
ext4,9985.03
sealfs,9984.39
sealfs,9979.83
sealfs,9957.44
sealfs,9952.69
sealfs,9944.02
ext4,9938.55
ext4,9931
sealfs,9887.32
sealfs,9874.49
ext4,9830.28
ext4,9817.74
sealfs,9767.92
sealfs,9665.05
sealfs,9617.68
ext4,9349.55
ext4,8285.18
sealfs,8205.01
ext4,8203.96
sealfs,8090.64
sealfs,8042.45
ext4,7915.69
ext4,7890.68
ext4,7836.1
sealfs,7781.77
sealfs,7779.54
sealfs,7778.14
sealfs,7778.06
sealfs,7777.86
sealfs,7777.34
sealfs,7777.32
sealfs,7777.02
