Throughput on Video Test,Bandwidth (kB/s)
summit_ext4,10223.69
summit_ext4,10223.67
summit_ext4,10223.32
summit_ext4,10223.09
summit_ext4,10223.05
summit_ext4,10222.72
summit_ext4,10222.6
summit_ext4,10222.32
summit_ext4,10222.13
summit_ext4,10222.12
summit_sealfs,10222.01
summit_ext4,10221.34
summit_ext4,10221.3
summit_ext4,10220.99
summit_ext4,10220.89
summit_ext4,10220.71
summit_ext4,10220.67
summit_ext4,10220.38
summit_ext4,10220.28
summit_ext4,10220.02
summit_ext4,10219.32
summit_ext4,10219.27
summit_ext4,10219.19
summit_ext4,10219.11
summit_ext4,10218.85
summit_ext4,10218.65
summit_ext4,10218.6
summit_ext4,10218.36
summit_ext4,10218.31
summit_ext4,10218.25
summit_sealfs,10217.71
summit_ext4,10217.14
summit_ext4,10217.06
summit_ext4,10216.66
summit_ext4,10216.62
summit_ext4,10216.37
summit_ext4,10216.3
summit_ext4,10216.01
summit_ext4,10216
summit_ext4,10215.56
summit_ext4,10215.52
summit_ext4,10214.1
summit_ext4,10213.96
summit_ext4,10212.57
summit_sealfs,10212.12
summit_ext4,10211.66
summit_ext4,10211.6
summit_sealfs,10211.03
summit_ext4,10210.4
summit_ext4,10210.38
summit_ext4,10210.34
summit_ext4,10210.26
summit_ext4,10210.26
summit_ext4,10209.71
summit_ext4,10209.64
summit_ext4,10209.38
summit_ext4,10209.17
summit_ext4,10209.15
summit_ext4,10208.16
summit_ext4,10207.96
summit_sealfs,10207.93
summit_ext4,10207.7
summit_ext4,10207.32
summit_ext4,10207.16
summit_ext4,10206.95
summit_ext4,10206.66
summit_ext4,10206.27
summit_ext4,10206.15
summit_ext4,10206.04
summit_sealfs,10205.95
summit_ext4,10205.33
summit_ext4,10205.27
summit_ext4,10205.11
summit_ext4,10205.03
summit_ext4,10204.74
summit_ext4,10204.65
summit_ext4,10204.59
summit_ext4,10204.5
summit_ext4,10204.31
summit_ext4,10204.23
summit_ext4,10203.84
