Throughput on Navigation Test,bandwidth (kB/s)
tiago_ext4,7.54
tiago_ext4,7.48
tiago_ext4,7.5
tiago_ext4,7.54
tiago_ext4,7.52
tiago_ext4,7.51
tiago_ext4,11.26
tiago_ext4,7.52
tiago_ext4,7.54
tiago_ext4,7.5
tiago_ext4,11.21
tiago_ext4,7.53
tiago_ext4,7.52
tiago_ext4,7.51
tiago_ext4,7.52
tiago_ext4,11.17
tiago_ext4,7.53
tiago_ext4,7.52
tiago_ext4,7.55
tiago_ext4,7.39
tiago_ext4,7.51
tiago_ext4,7.53
tiago_ext4,7.52
tiago_ext4,7.52
tiago_ext4,11.22
tiago_ext4,3.77
tiago_ext4,7.53
tiago_ext4,7.5
tiago_ext4,7.38
tiago_ext4,11.29
tiago_ext4,7.51
tiago_ext4,7.45
tiago_ext4,7.49
tiago_ext4,7.51
tiago_ext4,7.53
tiago_ext4,11.28
tiago_ext4,7.53
tiago_ext4,7.49
tiago_ext4,7.49
tiago_ext4,7.49
tiago_ext4,7.42
tiago_ext4,7.52
tiago_ext4,7.5
tiago_ext4,7.45
tiago_ext4,7.52
tiago_ext4,7.5
tiago_ext4,7.4
tiago_ext4,7.51
tiago_ext4,11.29
tiago_ext4,7.5
tiago_ext4,7.51
tiago_ext4,7.52
tiago_ext4,7.45
tiago_ext4,7.54
tiago_ext4,7.59
tiago_ext4,7.51
tiago_ext4,7.53
tiago_ext4,7.49
tiago_ext4,7.51
tiago_ext4,7.43
tiago_ext4,7.52
tiago_ext4,7.54
tiago_ext4,7.5
tiago_ext4,7.5
tiago_ext4,7.5
tiago_ext4,7.54
tiago_ext4,11.15
tiago_ext4,7.54
tiago_ext4,7.5
tiago_ext4,7.54
tiago_ext4,7.52
tiago_ext4,7.52
tiago_ext4,7.54
tiago_ext4,7.54
tiago_ext4,7.5
tiago_ext4,7.53
tiago_ext4,7.54
tiago_ext4,7.42
tiago_ext4,7.54
tiago_ext4,11.28
tiago_ext4,7.51
tiago_ext4,7.45
tiago_ext4,7.45
tiago_ext4,7.5
tiago_ext4,7.5
tiago_ext4,3.76
tiago_ext4,11.31
tiago_ext4,7.54
tiago_ext4,7.49
tiago_ext4,7.51
tiago_ext4,7.47
tiago_ext4,7.53
tiago_ext4,7.53
tiago_ext4,7.53
tiago_ext4,7.54
tiago_ext4,7.53
tiago_ext4,7.41
tiago_ext4,11.31
tiago_ext4,7.54
tiago_ext4,7.49
