Throughput in Audio Test,bandwidth (kB/s)
summit_sealfs,123
summit_sealfs,118.99
summit_sealfs,123.33
summit_sealfs,127.26
summit_sealfs,112.01
summit_sealfs,123.26
summit_sealfs,115.59
summit_sealfs,118.89
summit_sealfs,127.19
summit_sealfs,115.2
summit_sealfs,118.98
summit_sealfs,123.71
summit_sealfs,112.07
summit_sealfs,131.46
summit_sealfs,118.98
summit_sealfs,119.54
summit_sealfs,116
summit_sealfs,119.95
summit_sealfs,127.65
summit_sealfs,116.06
summit_sealfs,119.88
summit_sealfs,116.08
summit_sealfs,123.77
summit_sealfs,122.7
summit_sealfs,118.92
summit_sealfs,118.91
summit_sealfs,118.91
summit_sealfs,122.81
summit_sealfs,122.61
summit_sealfs,118.95
summit_sealfs,118.88
summit_sealfs,115.91
summit_sealfs,118.52
summit_sealfs,130.79
summit_sealfs,112.09
summit_sealfs,123.91
summit_sealfs,119.56
summit_sealfs,119.22
summit_sealfs,126.57
summit_sealfs,115.12
summit_sealfs,119.13
summit_sealfs,119.21
summit_sealfs,119.26
summit_sealfs,131.35
summit_sealfs,111.52
summit_sealfs,119.87
summit_sealfs,123.7
summit_sealfs,112.12
summit_sealfs,127.6
summit_sealfs,123.6
summit_sealfs,112.05
summit_sealfs,119.82
summit_sealfs,131.36
summit_sealfs,116.05
summit_sealfs,119.77
summit_sealfs,115.77
summit_sealfs,119.77
summit_sealfs,127.63
summit_sealfs,116.08
summit_sealfs,119.47
summit_sealfs,123.67
summit_sealfs,112.12
summit_sealfs,127.64
summit_sealfs,123.87
summit_sealfs,111.57
summit_sealfs,123.2
summit_sealfs,119.35
summit_sealfs,127.15
summit_sealfs,116.07
summit_sealfs,119.89
summit_sealfs,115.99
summit_sealfs,119.84
summit_sealfs,127.54
summit_sealfs,115.96
summit_sealfs,123.74
summit_sealfs,112.25
summit_sealfs,123.35
summit_sealfs,127.01
summit_sealfs,119.55
summit_sealfs,115.44
summit_sealfs,119.92
summit_sealfs,119.87
summit_sealfs,126.99
summit_sealfs,115.52
summit_sealfs,119.37
summit_sealfs,119.39
summit_sealfs,119.39
summit_sealfs,123.18
summit_sealfs,119.31
summit_sealfs,119.91
summit_sealfs,116.02
summit_sealfs,119.86
summit_sealfs,127.69
summit_sealfs,123.72
summit_sealfs,112.17
summit_sealfs,119.92
summit_sealfs,123.57
summit_sealfs,122.92
summit_sealfs,119.32
summit_sealfs,119.37
summit_sealfs,115.98
summit_sealfs,119.87
summit_sealfs,123.75
summit_sealfs,119.9
summit_sealfs,119.84
summit_sealfs,115.92
summit_sealfs,119.93
summit_sealfs,131.36
summit_sealfs,112.15
summit_sealfs,123.72
summit_sealfs,119.8
summit_sealfs,112.26
summit_sealfs,131.51
summit_sealfs,119.95
summit_sealfs,112.09
summit_sealfs,123.72
summit_sealfs,119.91
summit_sealfs,119.9
summit_sealfs,123.77
summit_sealfs,115.82
summit_sealfs,119.83
summit_sealfs,119.87
summit_sealfs,122.89
summit_sealfs,123.74
summit_sealfs,112.12
summit_sealfs,119.89
summit_sealfs,123.71
summit_sealfs,119.86
summit_sealfs,119.84
summit_sealfs,123.78
summit_sealfs,119.93
summit_sealfs,116.07
summit_sealfs,127.53
summit_sealfs,119.73
summit_sealfs,115.89
summit_sealfs,119.9
summit_sealfs,119.86
summit_sealfs,123.73
summit_sealfs,119.87
summit_sealfs,115.9
summit_sealfs,119.91
summit_sealfs,127.63
summit_sealfs,119.74
summit_sealfs,119.92
summit_sealfs,120
summit_sealfs,115.89
summit_sealfs,122.99
summit_sealfs,112.24
summit_sealfs,127.18
summit_sealfs,123.61
summit_sealfs,112
summit_sealfs,119.82
summit_sealfs,123.77
summit_sealfs,119.78
summit_sealfs,123.64
summit_sealfs,119.88
summit_sealfs,118.86
summit_sealfs,115.95
summit_sealfs,127.44
summit_sealfs,119.78
summit_sealfs,119.79
summit_sealfs,115.97
summit_sealfs,116.01
summit_sealfs,131.38
summit_sealfs,116
summit_sealfs,119.88
summit_sealfs,119.79
summit_sealfs,112.13
summit_sealfs,131.46
summit_sealfs,119.99
summit_sealfs,111.97
summit_sealfs,123.74
summit_sealfs,119.35
summit_sealfs,127.42
summit_sealfs,115.26
summit_sealfs,119.81
summit_sealfs,123.74
summit_sealfs,115.91
summit_sealfs,123.62
summit_sealfs,119.76
summit_sealfs,119.2
summit_sealfs,119.8
summit_sealfs,115.86
summit_sealfs,127.57
summit_sealfs,119.72
summit_sealfs,115.92
summit_sealfs,119.89
summit_sealfs,123.71
summit_sealfs,119.68
summit_sealfs,119.84
summit_sealfs,123.73
summit_sealfs,119.17
summit_sealfs,112.05
summit_sealfs,130.41
summit_sealfs,115.94
summit_sealfs,119.79
summit_sealfs,119.94
summit_sealfs,123.71
summit_sealfs,123.61
summit_sealfs,112.02
summit_sealfs,119.89
summit_sealfs,123.09
summit_sealfs,127.49
summit_sealfs,112.05
summit_sealfs,123.64
summit_sealfs,119.9
summit_sealfs,112.07
summit_sealfs,131.39
summit_sealfs,119.94
summit_sealfs,115.9
summit_sealfs,119.83
summit_sealfs,115.93
summit_sealfs,131.45
summit_sealfs,115.94
summit_sealfs,115.91
summit_sealfs,123.75
summit_sealfs,112.11
summit_sealfs,127.54
summit_sealfs,123.68
summit_sealfs,112.09
summit_sealfs,123.66
summit_sealfs,119.84
summit_sealfs,127.65
summit_sealfs,115.86
summit_sealfs,119.2
summit_sealfs,119.71
summit_sealfs,115.98
summit_sealfs,131.27
summit_sealfs,119.82
summit_sealfs,119.85
summit_sealfs,115.85
summit_sealfs,118.91
summit_sealfs,127.52
summit_sealfs,119.9
summit_sealfs,115.98
summit_sealfs,119.85
summit_sealfs,119.87
summit_sealfs,123.68
summit_sealfs,119.95
summit_sealfs,119.96
summit_sealfs,115.87
summit_sealfs,119.81
summit_sealfs,131.47
summit_sealfs,115.97
summit_sealfs,115.46
summit_sealfs,123.07
summit_sealfs,115.4
summit_sealfs,127.05
summit_sealfs,115.47
summit_sealfs,119.78
summit_sealfs,119.71
summit_sealfs,123.12
summit_sealfs,126.96
summit_sealfs,123.26
summit_sealfs,119.2
summit_sealfs,119.22
summit_sealfs,119.28
summit_sealfs,123.1
summit_sealfs,115.4
summit_sealfs,122.7
summit_sealfs,119.36
summit_sealfs,123.15
summit_sealfs,119.23
summit_sealfs,119.37
summit_sealfs,123.12
summit_sealfs,115.47
summit_sealfs,119.15
summit_sealfs,127.04
summit_sealfs,115.68
summit_sealfs,119.49
summit_sealfs,123.74
summit_sealfs,112.07
summit_sealfs,131.4
summit_sealfs,119.76
summit_sealfs,112.14
summit_sealfs,123.73
summit_sealfs,119.82
summit_sealfs,123.61
summit_sealfs,119.23
summit_sealfs,119.33
summit_sealfs,115.55
summit_sealfs,127.56
summit_sealfs,119.88
summit_sealfs,119.92
summit_sealfs,119.75
summit_sealfs,112.09
summit_sealfs,131.37
summit_sealfs,119.81
summit_sealfs,112
summit_sealfs,123.76
summit_sealfs,119.82
summit_sealfs,119.76
summit_sealfs,123.7
summit_sealfs,119.84
summit_sealfs,123.55
summit_sealfs,112.13
summit_sealfs,127.51
summit_sealfs,119.57
summit_sealfs,115.97
summit_sealfs,119.86
summit_sealfs,119.79
summit_sealfs,123.67
summit_sealfs,116.07
summit_sealfs,123.77
summit_sealfs,119.66
