# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 7) + 36.775 us   |  sealfs_write [sealfs]();
 7) + 87.414 us   |  sealfs_write [sealfs]();
 4) + 48.924 us   |  sealfs_write [sealfs]();
 4) ! 128.868 us  |  sealfs_write [sealfs]();
 4) + 36.651 us   |  sealfs_write [sealfs]();
 4) + 91.804 us   |  sealfs_write [sealfs]();
 4) + 52.514 us   |  sealfs_write [sealfs]();
 4) ! 108.375 us  |  sealfs_write [sealfs]();
 4) + 36.351 us   |  sealfs_write [sealfs]();
 4) + 76.628 us   |  sealfs_write [sealfs]();
 1) + 36.580 us   |  sealfs_write [sealfs]();
 1) + 93.520 us   |  sealfs_write [sealfs]();
 1) + 35.095 us   |  sealfs_write [sealfs]();
 1) + 83.188 us   |  sealfs_write [sealfs]();
 7) + 46.845 us   |  sealfs_write [sealfs]();
 7) ! 129.534 us  |  sealfs_write [sealfs]();
 7) + 50.583 us   |  sealfs_write [sealfs]();
 7) ! 104.859 us  |  sealfs_write [sealfs]();
 7) + 35.534 us   |  sealfs_write [sealfs]();
 7) + 76.192 us   |  sealfs_write [sealfs]();
 5) + 33.263 us   |  sealfs_write [sealfs]();
 5) + 71.167 us   |  sealfs_write [sealfs]();
 5) ! 767.438 us  |  sealfs_write [sealfs]();
 5) + 86.735 us   |  sealfs_write [sealfs]();
 6) + 37.147 us   |  sealfs_write [sealfs]();
 6) + 79.196 us   |  sealfs_write [sealfs]();
 4) + 33.460 us   |  sealfs_write [sealfs]();
 4) + 79.009 us   |  sealfs_write [sealfs]();
 4) + 36.559 us   |  sealfs_write [sealfs]();
 4) + 74.238 us   |  sealfs_write [sealfs]();
 4) + 36.414 us   |  sealfs_write [sealfs]();
 4) + 74.718 us   |  sealfs_write [sealfs]();
 4) + 44.798 us   |  sealfs_write [sealfs]();
 4) + 69.946 us   |  sealfs_write [sealfs]();
 2) + 37.448 us   |  sealfs_write [sealfs]();
 2) + 74.501 us   |  sealfs_write [sealfs]();
 2) + 35.395 us   |  sealfs_write [sealfs]();
 2) + 75.903 us   |  sealfs_write [sealfs]();
 2) + 44.515 us   |  sealfs_write [sealfs]();
 2) + 70.853 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 6) ros1sea-529272 =>  <...>-530697 
 ------------------------------------------

 6)   2.329 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 2) ros1sea-529272 =>  <...>-530699 
 ------------------------------------------

 2)   1.470 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 2)  <...>-530699  =>  <...>-530701 
 ------------------------------------------

 2)   1.395 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 2)  <...>-530701  => ros1sea-529272
 ------------------------------------------

 2) + 53.906 us   |  sealfs_write [sealfs]();
 2) ! 107.622 us  |  sealfs_write [sealfs]();
 0) + 62.068 us   |  sealfs_write [sealfs]();
 0) ! 111.259 us  |  sealfs_write [sealfs]();
 ------------------------------------------
 6)  <...>-530697  => ros1sea-529272
 ------------------------------------------

 6) + 41.003 us   |  sealfs_write [sealfs]();
 6) + 92.344 us   |  sealfs_write [sealfs]();
 5) + 52.099 us   |  sealfs_write [sealfs]();
 5) ! 153.272 us  |  sealfs_write [sealfs]();
 ------------------------------------------
 3) ros1sea-529272 =>  <...>-530722 
 ------------------------------------------

 3)   3.004 us    |  sealfs_show_options [sealfs]();
 3)   0.759 us    |  sealfs_show_options [sealfs]();
 3)   0.982 us    |  sealfs_show_options [sealfs]();
 3)   0.607 us    |  sealfs_show_options [sealfs]();
 3)   0.709 us    |  sealfs_show_options [sealfs]();
 3)   0.661 us    |  sealfs_show_options [sealfs]();
 3)   0.775 us    |  sealfs_show_options [sealfs]();
 3)   0.600 us    |  sealfs_show_options [sealfs]();
 3)   0.717 us    |  sealfs_show_options [sealfs]();
 3)   0.532 us    |  sealfs_show_options [sealfs]();
 3)   0.697 us    |  sealfs_show_options [sealfs]();
 3)   0.560 us    |  sealfs_show_options [sealfs]();
 3)   0.705 us    |  sealfs_show_options [sealfs]();
 3)   0.490 us    |  sealfs_show_options [sealfs]();
 3)   0.728 us    |  sealfs_show_options [sealfs]();
 3)   0.611 us    |  sealfs_show_options [sealfs]();
 3)   0.745 us    |  sealfs_show_options [sealfs]();
 3)   0.523 us    |  sealfs_show_options [sealfs]();
 3)   0.738 us    |  sealfs_show_options [sealfs]();
 3)   0.558 us    |  sealfs_show_options [sealfs]();
 3)   0.683 us    |  sealfs_show_options [sealfs]();
 3)   0.712 us    |  sealfs_show_options [sealfs]();
 3)   0.733 us    |  sealfs_show_options [sealfs]();
 3)   0.591 us    |  sealfs_show_options [sealfs]();
 3)   0.752 us    |  sealfs_show_options [sealfs]();
 3)   0.541 us    |  sealfs_show_options [sealfs]();
 3)   0.685 us    |  sealfs_show_options [sealfs]();
 3)   0.633 us    |  sealfs_show_options [sealfs]();
 3)   0.622 us    |  sealfs_show_options [sealfs]();
 3)   0.640 us    |  sealfs_show_options [sealfs]();
 3)   0.829 us    |  sealfs_show_options [sealfs]();
 3)   0.661 us    |  sealfs_show_options [sealfs]();
 3)   0.716 us    |  sealfs_show_options [sealfs]();
 3)   0.581 us    |  sealfs_show_options [sealfs]();
 3)   0.693 us    |  sealfs_show_options [sealfs]();
 3)   0.649 us    |  sealfs_show_options [sealfs]();
 5) + 44.026 us   |  sealfs_write [sealfs]();
 5) + 88.095 us   |  sealfs_write [sealfs]();
 5) + 35.301 us   |  sealfs_write [sealfs]();
 5) + 75.878 us   |  sealfs_write [sealfs]();
 5) + 41.183 us   |  sealfs_write [sealfs]();
 5) + 74.855 us   |  sealfs_write [sealfs]();
 5) + 45.225 us   |  sealfs_write [sealfs]();
 5) + 73.942 us   |  sealfs_write [sealfs]();
 5) + 97.745 us   |  sealfs_write [sealfs]();
 2) + 43.618 us   |  sealfs_write [sealfs]();
 2) ! 130.606 us  |  sealfs_write [sealfs]();
 5) + 36.643 us   |  sealfs_write [sealfs]();
 5) + 77.050 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 3)  <...>-530722  => ros1sea-529272
 ------------------------------------------

 3) + 63.874 us   |  sealfs_write [sealfs]();
 3) + 78.732 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 6) ros1sea-529272 =>  collect-1285 
 ------------------------------------------

 6)   2.216 us    |  sealfs_show_options [sealfs]();
 6)   1.409 us    |  sealfs_statfs [sealfs]();
 5) + 34.701 us   |  sealfs_write [sealfs]();
 5) + 78.812 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 6)  collect-1285  => ros1sea-529272
 ------------------------------------------

 6) + 33.252 us   |  sealfs_write [sealfs]();
 6) + 73.306 us   |  sealfs_write [sealfs]();
 0) + 44.136 us   |  sealfs_write [sealfs]();
 0) + 95.854 us   |  sealfs_write [sealfs]();
 0) + 35.638 us   |  sealfs_write [sealfs]();
 0) + 84.900 us   |  sealfs_write [sealfs]();
 0) + 31.673 us   |  sealfs_write [sealfs]();
 0) + 97.092 us   |  sealfs_write [sealfs]();
 0) + 36.632 us   |  sealfs_write [sealfs]();
 0) + 77.310 us   |  sealfs_write [sealfs]();
 1) + 34.611 us   |  sealfs_write [sealfs]();
 1) + 74.495 us   |  sealfs_write [sealfs]();
 6) + 41.938 us   |  sealfs_write [sealfs]();
 6) + 72.527 us   |  sealfs_write [sealfs]();
 7) + 37.906 us   |  sealfs_write [sealfs]();
 7) + 81.388 us   |  sealfs_write [sealfs]();
 7) + 36.893 us   |  sealfs_write [sealfs]();
 7) + 83.376 us   |  sealfs_write [sealfs]();
 7) + 48.977 us   |  sealfs_write [sealfs]();
 7) + 83.143 us   |  sealfs_write [sealfs]();
 7) + 42.978 us   |  sealfs_write [sealfs]();
 7) + 76.050 us   |  sealfs_write [sealfs]();
 7) + 38.507 us   |  sealfs_write [sealfs]();
 7) + 74.924 us   |  sealfs_write [sealfs]();
 2) + 35.123 us   |  sealfs_write [sealfs]();
 2) + 76.961 us   |  sealfs_write [sealfs]();
 2) + 32.501 us   |  sealfs_write [sealfs]();
 2) + 73.298 us   |  sealfs_write [sealfs]();
 1) + 33.295 us   |  sealfs_write [sealfs]();
 1) + 70.635 us   |  sealfs_write [sealfs]();
 5) + 44.223 us   |  sealfs_write [sealfs]();
 5) ! 126.472 us  |  sealfs_write [sealfs]();
 0) + 50.123 us   |  sealfs_write [sealfs]();
 0) ! 154.855 us  |  sealfs_write [sealfs]();
 1) + 65.745 us   |  sealfs_write [sealfs]();
 1) + 82.144 us   |  sealfs_write [sealfs]();
 1) + 61.932 us   |  sealfs_write [sealfs]();
 1) + 94.491 us   |  sealfs_write [sealfs]();
 1) + 36.300 us   |  sealfs_write [sealfs]();
 1) + 78.417 us   |  sealfs_write [sealfs]();
 7) + 52.961 us   |  sealfs_write [sealfs]();
 7) + 79.089 us   |  sealfs_write [sealfs]();
 7) + 41.414 us   |  sealfs_write [sealfs]();
 7) + 94.807 us   |  sealfs_write [sealfs]();
 5) + 43.530 us   |  sealfs_write [sealfs]();
 5) + 86.540 us   |  sealfs_write [sealfs]();
 5) + 34.255 us   |  sealfs_write [sealfs]();
 5) + 71.997 us   |  sealfs_write [sealfs]();
 5) + 41.474 us   |  sealfs_write [sealfs]();
 5) + 77.890 us   |  sealfs_write [sealfs]();
 6) + 95.918 us   |  sealfs_write [sealfs]();
 6) + 33.328 us   |  sealfs_write [sealfs]();
 6) + 77.493 us   |  sealfs_write [sealfs]();
 6) + 38.940 us   |  sealfs_write [sealfs]();
 6) + 87.789 us   |  sealfs_write [sealfs]();
 6) + 56.660 us   |  sealfs_write [sealfs]();
 6) + 79.330 us   |  sealfs_write [sealfs]();
 6) + 43.936 us   |  sealfs_write [sealfs]();
 6) + 81.010 us   |  sealfs_write [sealfs]();
 6) + 62.770 us   |  sealfs_write [sealfs]();
 6) ! 678.826 us  |  sealfs_write [sealfs]();
 6) ! 103.935 us  |  sealfs_write [sealfs]();
 6) + 41.328 us   |  sealfs_write [sealfs]();
 6) + 77.740 us   |  sealfs_write [sealfs]();
 3) + 41.762 us   |  sealfs_write [sealfs]();
 3) + 85.946 us   |  sealfs_write [sealfs]();
 4) + 32.982 us   |  sealfs_write [sealfs]();
 4) + 73.886 us   |  sealfs_write [sealfs]();
 4) + 36.044 us   |  sealfs_write [sealfs]();
 4) + 86.932 us   |  sealfs_write [sealfs]();
 1) + 41.289 us   |  sealfs_write [sealfs]();
 1) ! 103.637 us  |  sealfs_write [sealfs]();
 3) + 48.653 us   |  sealfs_write [sealfs]();
 3) + 89.430 us   |  sealfs_write [sealfs]();
 3) + 36.449 us   |  sealfs_write [sealfs]();
 3) ! 107.948 us  |  sealfs_write [sealfs]();
 3) + 76.576 us   |  sealfs_write [sealfs]();
 3) ! 176.192 us  |  sealfs_write [sealfs]();
 4) + 60.385 us   |  sealfs_write [sealfs]();
 4) + 94.634 us   |  sealfs_write [sealfs]();
 4) + 42.589 us   |  sealfs_write [sealfs]();
 4) + 82.037 us   |  sealfs_write [sealfs]();
 1) + 36.322 us   |  sealfs_write [sealfs]();
 1) + 74.367 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 0) ros1sea-529272 =>  <...>-531230 
 ------------------------------------------

 0)   2.287 us    |  sealfs_show_options [sealfs]();
 0)   0.664 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 1) ros1sea-529272 =>  <...>-531230 
 ------------------------------------------

 1)   1.246 us    |  sealfs_show_options [sealfs]();
 1)   0.582 us    |  sealfs_show_options [sealfs]();
 1)   0.635 us    |  sealfs_show_options [sealfs]();
 1)   0.803 us    |  sealfs_show_options [sealfs]();
 1)   0.594 us    |  sealfs_show_options [sealfs]();
 1)   0.458 us    |  sealfs_show_options [sealfs]();
 1)   0.782 us    |  sealfs_show_options [sealfs]();
 1)   0.392 us    |  sealfs_show_options [sealfs]();
 1)   0.566 us    |  sealfs_show_options [sealfs]();
 1)   0.381 us    |  sealfs_show_options [sealfs]();
 1)   0.786 us    |  sealfs_show_options [sealfs]();
 1)   0.469 us    |  sealfs_show_options [sealfs]();
 1)   0.552 us    |  sealfs_show_options [sealfs]();
 1)   0.407 us    |  sealfs_show_options [sealfs]();
 1)   0.556 us    |  sealfs_show_options [sealfs]();
 1)   0.491 us    |  sealfs_show_options [sealfs]();
 1)   0.525 us    |  sealfs_show_options [sealfs]();
 1)   0.389 us    |  sealfs_show_options [sealfs]();
 1)   0.553 us    |  sealfs_show_options [sealfs]();
 1)   0.437 us    |  sealfs_show_options [sealfs]();
 1)   0.500 us    |  sealfs_show_options [sealfs]();
 1)   0.482 us    |  sealfs_show_options [sealfs]();
 1)   0.570 us    |  sealfs_show_options [sealfs]();
 1)   0.564 us    |  sealfs_show_options [sealfs]();
 1)   0.530 us    |  sealfs_show_options [sealfs]();
 1)   0.651 us    |  sealfs_show_options [sealfs]();
 1)   0.579 us    |  sealfs_show_options [sealfs]();
 1)   0.423 us    |  sealfs_show_options [sealfs]();
