# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   1.478 us    |  sealfs_show_options [sealfs]();
 0)   0.653 us    |  sealfs_show_options [sealfs]();
 0)   0.467 us    |  sealfs_show_options [sealfs]();
 0)   0.682 us    |  sealfs_show_options [sealfs]();
 0)   0.566 us    |  sealfs_show_options [sealfs]();
 0)   1.603 us    |  sealfs_show_options [sealfs]();
 0)   0.599 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 1) ros1sea-551314 => (openvp-552837
 ------------------------------------------

 1)   1.211 us    |  sealfs_show_options [sealfs]();
 1)   0.526 us    |  sealfs_show_options [sealfs]();
 1)   0.663 us    |  sealfs_show_options [sealfs]();
 1)   0.820 us    |  sealfs_show_options [sealfs]();
 1)   0.688 us    |  sealfs_show_options [sealfs]();
 1)   0.743 us    |  sealfs_show_options [sealfs]();
 1)   0.827 us    |  sealfs_show_options [sealfs]();
 1)   0.821 us    |  sealfs_show_options [sealfs]();
 1)   0.632 us    |  sealfs_show_options [sealfs]();
 1)   0.480 us    |  sealfs_show_options [sealfs]();
 1)   0.545 us    |  sealfs_show_options [sealfs]();
 1)   0.447 us    |  sealfs_show_options [sealfs]();
 1)   0.543 us    |  sealfs_show_options [sealfs]();
 1)   0.514 us    |  sealfs_show_options [sealfs]();
 1)   0.537 us    |  sealfs_show_options [sealfs]();
 1)   0.563 us    |  sealfs_show_options [sealfs]();
 1)   0.563 us    |  sealfs_show_options [sealfs]();
 1)   0.577 us    |  sealfs_show_options [sealfs]();
 1)   0.514 us    |  sealfs_show_options [sealfs]();
 1)   0.607 us    |  sealfs_show_options [sealfs]();
 1)   0.840 us    |  sealfs_show_options [sealfs]();
 1)   0.574 us    |  sealfs_show_options [sealfs]();
 1)   0.540 us    |  sealfs_show_options [sealfs]();
 1)   0.391 us    |  sealfs_show_options [sealfs]();
 1)   0.541 us    |  sealfs_show_options [sealfs]();
 1)   0.650 us    |  sealfs_show_options [sealfs]();
 1)   0.796 us    |  sealfs_show_options [sealfs]();
 1)   0.720 us    |  sealfs_show_options [sealfs]();
 6) + 48.019 us   |  sealfs_write [sealfs]();
 6) ! 132.260 us  |  sealfs_write [sealfs]();
 2) + 35.381 us   |  sealfs_write [sealfs]();
 2) + 77.198 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 1) (openvp-552837 => ros1sea-551314
 ------------------------------------------

 1) + 43.159 us   |  sealfs_write [sealfs]();
 1) + 79.044 us   |  sealfs_write [sealfs]();
 1) + 37.858 us   |  sealfs_write [sealfs]();
 1) ! 117.434 us  |  sealfs_write [sealfs]();
 1) + 33.637 us   |  sealfs_write [sealfs]();
 1) + 74.383 us   |  sealfs_write [sealfs]();
 7) + 36.475 us   |  sealfs_write [sealfs]();
 7) + 72.632 us   |  sealfs_write [sealfs]();
 6) + 32.413 us   |  sealfs_write [sealfs]();
 6) + 84.377 us   |  sealfs_write [sealfs]();
 6) + 37.114 us   |  sealfs_write [sealfs]();
 6) + 79.712 us   |  sealfs_write [sealfs]();
 6) + 94.539 us   |  sealfs_write [sealfs]();
