TiAGO Latency on Audio Test,time (uS)
sealfs_write,128.646
sealfs_write,128.644
sealfs_write,128.639
sealfs_write,128.596
sealfs_write,128.595
sealfs_write,128.573
sealfs_write,128.568
sealfs_write,128.546
sealfs_write,128.519
sealfs_write,128.515
sealfs_write,128.499
sealfs_write,128.477
sealfs_write,128.431
sealfs_write,128.429
sealfs_write,128.42
sealfs_write,128.373
sealfs_write,128.359
sealfs_write,128.359
sealfs_write,128.353
sealfs_write,128.315
sealfs_write,128.31
sealfs_write,128.292
sealfs_write,128.246
sealfs_write,128.245
sealfs_write,128.239
sealfs_write,128.23
sealfs_write,128.205
sealfs_write,128.195
sealfs_write,128.179
sealfs_write,128.155
sealfs_write,128.154
sealfs_write,128.149
sealfs_write,128.038
sealfs_write,128.031
sealfs_write,128.024
sealfs_write,128.008
sealfs_write,128.006
sealfs_write,127.977
sealfs_write,127.959
sealfs_write,127.933
sealfs_write,127.931
sealfs_write,127.93
sealfs_write,127.912
sealfs_write,127.895
sealfs_write,127.875
sealfs_write,127.87
sealfs_write,127.867
sealfs_write,127.866
sealfs_write,127.854
sealfs_write,127.842
sealfs_write,127.839
sealfs_write,127.735
sealfs_write,127.716
sealfs_write,127.566
sealfs_write,127.562
sealfs_write,127.537
sealfs_write,127.514
sealfs_write,127.489
sealfs_write,127.475
sealfs_write,127.473
sealfs_write,127.471
sealfs_write,127.462
sealfs_write,127.403
sealfs_write,127.387
sealfs_write,127.384
sealfs_write,127.373
sealfs_write,127.367
sealfs_write,127.346
sealfs_write,127.342
sealfs_write,127.337
sealfs_write,127.324
sealfs_write,127.316
sealfs_write,127.291
sealfs_write,127.268
sealfs_write,127.256
sealfs_write,127.216
sealfs_write,127.175
sealfs_write,127.164
sealfs_write,127.126
sealfs_write,127.062
sealfs_write,127.017
sealfs_write,126.966
sealfs_write,126.916
sealfs_write,126.91
sealfs_write,126.891
sealfs_write,126.879
sealfs_write,126.847
sealfs_write,126.84
sealfs_write,126.817
sealfs_write,126.778
sealfs_write,126.778
sealfs_write,126.75
sealfs_write,126.738
sealfs_write,126.722
sealfs_write,126.691
sealfs_write,126.673
sealfs_write,126.669
sealfs_write,126.655
sealfs_write,126.653
sealfs_write,126.651
sealfs_write,126.637
sealfs_write,126.636
sealfs_write,126.619
sealfs_write,126.608
sealfs_write,126.605
sealfs_write,126.599
sealfs_write,126.589
sealfs_write,126.543
sealfs_write,126.524
sealfs_write,126.504
sealfs_write,126.484
sealfs_write,126.472
sealfs_write,126.448
sealfs_write,126.435
sealfs_write,126.431
sealfs_write,126.43
sealfs_write,126.426
sealfs_write,126.413
sealfs_write,126.405
sealfs_write,126.385
sealfs_write,126.385
sealfs_write,126.357
sealfs_write,126.331
sealfs_write,126.29
sealfs_write,126.269
sealfs_write,126.26
sealfs_write,126.255
sealfs_write,126.228
sealfs_write,126.228
sealfs_write,126.221
sealfs_write,126.191
sealfs_write,126.178
sealfs_write,126.175
sealfs_write,126.123
