Latency on Video Test,time (μs)
tiago_sealfs_write,16114.56
summit_sealfs_write,16112.15
summit_sealfs_write,16111.44
summit_sealfs_write,16108.46
summit_sealfs_write,16098.42
summit_sealfs_write,16096.03
summit_sealfs_write,16095.37
summit_sealfs_write,16091.11
summit_sealfs_write,16089.75
summit_sealfs_write,16088.84
summit_sealfs_write,16087.96
summit_sealfs_write,16087.88
summit_sealfs_write,16086.08
tiago_sealfs_write,16086.08
tiago_sealfs_write,16083.69
summit_sealfs_write,16075.67
tiago_sealfs_write,16074.25
summit_sealfs_write,16072.72
tiago_sealfs_write,16070
summit_sealfs_write,16069.32
summit_sealfs_write,16061.3
summit_sealfs_write,16057.54
summit_sealfs_write,16050.62
summit_sealfs_write,16046.64
summit_sealfs_write,16045.7
tiago_sealfs_write,16043.92
summit_sealfs_write,16043.84
summit_sealfs_write,16043.52
summit_sealfs_write,16021.7
summit_sealfs_write,16021.39
summit_sealfs_write,16020.61
tiago_sealfs_write,16020.3
summit_sealfs_write,16019.38
summit_sealfs_write,16019.31
tiago_sealfs_write,16009.33
summit_sealfs_write,16008.49
tiago_sealfs_write,16006.21
tiago_ext4_write,15992.93
summit_sealfs_write,15991.52
summit_sealfs_write,15988.84
summit_sealfs_write,15988.64
summit_sealfs_write,15984.23
summit_sealfs_write,15982.76
summit_sealfs_write,15979.72
summit_sealfs_write,15977.92
summit_sealfs_write,15972.78
summit_sealfs_write,15964.13
summit_sealfs_write,15957.99
summit_sealfs_write,15954.99
summit_sealfs_write,15952.69
summit_sealfs_write,15950.98
summit_sealfs_write,15940.84
summit_sealfs_write,15940.42
summit_sealfs_write,15934.77
summit_sealfs_write,15923.17
summit_sealfs_write,15922.05
summit_sealfs_write,15918.84
tiago_sealfs_write,15918.82
summit_sealfs_write,15909.81
summit_sealfs_write,15908.2
summit_sealfs_write,15905.94
summit_sealfs_write,15902.18
summit_sealfs_write,15896.36
summit_sealfs_write,15885.47
summit_sealfs_write,15882.21
summit_sealfs_write,15873.69
summit_sealfs_write,15872.86
summit_sealfs_write,15871.1
tiago_ext4_write,15862.56
tiago_sealfs_write,15859.81
summit_sealfs_write,15859.23
summit_sealfs_write,15856.85
summit_sealfs_write,15853.67
