Latency on Navigation Test,time (μs)
tiago_sealfs_write,81.368
tiago_sealfs_write,81.322
tiago_sealfs_write,81.26
tiago_sealfs_write,81.18
tiago_sealfs_write,81.113
tiago_sealfs_write,81.023
summit_sealfs_write,80.992
tiago_sealfs_write,80.908
tiago_sealfs_write,80.851
summit_sealfs_write,80.733
summit_sealfs_write,80.648
tiago_sealfs_write,80.633
summit_sealfs_write,80.422
tiago_sealfs_write,80.361
tiago_sealfs_write,80.348
summit_sealfs_write,80.329
tiago_sealfs_write,80.241
tiago_sealfs_write,80.222
tiago_sealfs_write,80.186
tiago_sealfs_write,80.155
tiago_sealfs_write,80.148
summit_sealfs_write,80.099
summit_sealfs_write,80.003
tiago_sealfs_write,79.963
tiago_sealfs_write,79.96
tiago_sealfs_write,79.923
tiago_sealfs_write,79.867
tiago_sealfs_write,79.845
tiago_sealfs_write,79.764
tiago_sealfs_write,79.629
tiago_sealfs_write,79.604
summit_sealfs_write,79.495
tiago_sealfs_write,79.486
tiago_sealfs_write,79.445
summit_sealfs_write,79.373
summit_sealfs_write,79.299
tiago_sealfs_write,79.27
tiago_sealfs_write,79.195
tiago_sealfs_write,79.167
tiago_sealfs_write,79.156
tiago_sealfs_write,79.154
tiago_sealfs_write,79.13
tiago_sealfs_write,79.119
tiago_sealfs_write,79.116
summit_sealfs_write,79.016
tiago_sealfs_write,79.016
tiago_sealfs_write,78.759
tiago_sealfs_write,78.584
summit_sealfs_write,78.549
tiago_sealfs_write,78.524
summit_sealfs_write,78.517
summit_sealfs_write,78.506
tiago_sealfs_write,78.481
tiago_sealfs_write,78.474
tiago_sealfs_write,78.419
tiago_sealfs_write,78.382
tiago_sealfs_write,78.317
tiago_sealfs_write,78.297
tiago_sealfs_write,78.291
tiago_sealfs_write,78.251
tiago_sealfs_write,78.241
tiago_sealfs_write,78.199
tiago_sealfs_write,78.177
tiago_sealfs_write,78.061
tiago_sealfs_write,78.003
tiago_sealfs_write,77.994
tiago_sealfs_write,77.962
tiago_sealfs_write,77.903
tiago_sealfs_write,77.903
tiago_sealfs_write,77.822
tiago_sealfs_write,77.816
tiago_sealfs_write,77.745
tiago_sealfs_write,77.686
tiago_sealfs_write,77.621
tiago_sealfs_write,77.435
tiago_sealfs_write,77.392
tiago_sealfs_write,77.386
tiago_sealfs_write,77.286
tiago_sealfs_write,77.284
tiago_sealfs_write,77.168
tiago_sealfs_write,77.167
tiago_sealfs_write,77.158
tiago_sealfs_write,77.146
tiago_sealfs_write,77.103
tiago_sealfs_write,77.047
tiago_sealfs_write,77.045
tiago_sealfs_write,77.026
tiago_sealfs_write,77.012
tiago_sealfs_write,76.996
tiago_sealfs_write,76.978
tiago_sealfs_write,76.862
tiago_sealfs_write,76.861
summit_sealfs_write,76.813
tiago_sealfs_write,76.801
summit_sealfs_write,76.673
tiago_sealfs_write,76.593
tiago_sealfs_write,76.489
tiago_sealfs_write,76.416
tiago_sealfs_write,76.24
tiago_sealfs_write,76.194
tiago_sealfs_write,76.057
tiago_sealfs_write,75.937
tiago_sealfs_write,75.937
tiago_sealfs_write,75.899
tiago_sealfs_write,75.891
tiago_sealfs_write,75.89
summit_sealfs_write,75.837
tiago_sealfs_write,75.813
tiago_sealfs_write,75.808
tiago_sealfs_write,75.796
tiago_sealfs_write,75.727
tiago_sealfs_write,75.682
tiago_sealfs_write,75.664
tiago_sealfs_write,75.605
tiago_sealfs_write,75.527
tiago_sealfs_write,75.491
tiago_sealfs_write,75.377
tiago_sealfs_write,75.364
tiago_sealfs_write,75.35
tiago_sealfs_write,75.285
tiago_sealfs_write,75.26
tiago_sealfs_write,75.259
tiago_sealfs_write,75.212
tiago_sealfs_write,75.02
summit_sealfs_write,74.964
tiago_sealfs_write,74.939
tiago_sealfs_write,74.83
tiago_sealfs_write,74.712
tiago_sealfs_write,74.705
summit_sealfs_write,74.693
tiago_sealfs_write,74.625
tiago_sealfs_write,74.523
tiago_sealfs_write,74.374
tiago_sealfs_write,74.141
tiago_sealfs_write,74.043
tiago_sealfs_write,74.004
tiago_sealfs_write,73.926
tiago_sealfs_write,73.827
tiago_sealfs_write,73.821
tiago_sealfs_write,73.811
tiago_sealfs_write,73.687
tiago_sealfs_write,73.636
tiago_sealfs_write,73.474
tiago_sealfs_write,73.446
tiago_sealfs_write,73.346
tiago_sealfs_write,73.299
tiago_sealfs_write,73.217
tiago_sealfs_write,73.196
tiago_sealfs_write,73.085
tiago_sealfs_write,72.925
summit_sealfs_write,72.875
tiago_sealfs_write,72.826
tiago_sealfs_write,72.825
tiago_sealfs_write,72.533
tiago_sealfs_write,72.449
tiago_sealfs_write,72.068
tiago_sealfs_write,72.008
tiago_sealfs_write,71.987
tiago_sealfs_write,71.977
tiago_sealfs_write,71.903
tiago_sealfs_write,71.854
tiago_sealfs_write,71.792
tiago_sealfs_write,71.712
tiago_sealfs_write,71.697
tiago_sealfs_write,71.49
tiago_sealfs_write,71.426
tiago_sealfs_write,71.355
tiago_sealfs_write,71.034
tiago_sealfs_write,70.715
tiago_sealfs_write,70.354
tiago_sealfs_write,70.205
tiago_sealfs_write,70.11
tiago_sealfs_write,70.025
tiago_sealfs_write,69.571
tiago_sealfs_write,68.894
tiago_sealfs_write,68.549
tiago_sealfs_write,68.382
tiago_sealfs_write,67.443
tiago_ext4_write,52.756
tiago_ext4_write,49.36
tiago_ext4_write,37.096
tiago_ext4_write,36.495
tiago_ext4_write,35.144
tiago_ext4_write,33.263
tiago_ext4_write,29.673
tiago_ext4_write,29.57
tiago_ext4_write,29.181
tiago_ext4_write,29.114
tiago_ext4_write,27.992
tiago_ext4_write,27.629
tiago_ext4_write,27.382
tiago_ext4_write,27.22
tiago_ext4_write,26.795
tiago_ext4_write,26.264
tiago_ext4_write,26.038
tiago_ext4_write,25.892
tiago_ext4_write,25.382
tiago_ext4_write,25.295
tiago_ext4_write,25.115
tiago_ext4_write,24.862
tiago_ext4_write,24.856
tiago_ext4_write,24.69
tiago_ext4_write,24.564
tiago_ext4_write,24.495
tiago_ext4_write,24.473
tiago_ext4_write,24.457
tiago_ext4_write,24.296
tiago_ext4_write,24.26
tiago_ext4_write,24.116
tiago_ext4_write,24.09
tiago_ext4_write,23.908
tiago_ext4_write,23.833
tiago_ext4_write,23.338
tiago_ext4_write,23.312
tiago_ext4_write,23.23
tiago_ext4_write,23.221
tiago_ext4_write,23.138
tiago_ext4_write,23.054
tiago_ext4_write,23.025
tiago_ext4_write,22.999
tiago_ext4_write,22.982
tiago_ext4_write,22.937
tiago_ext4_write,22.86
tiago_ext4_write,22.708
tiago_ext4_write,22.635
tiago_ext4_write,22.604
tiago_ext4_write,22.604
tiago_ext4_write,22.477
tiago_ext4_write,22.437
tiago_ext4_write,22.382
tiago_ext4_write,22.248
tiago_ext4_write,22.196
tiago_ext4_write,22.08
tiago_ext4_write,22.025
tiago_ext4_write,21.958
tiago_ext4_write,21.947
tiago_ext4_write,21.802
tiago_ext4_write,21.613
tiago_ext4_write,21.607
tiago_ext4_write,21.577
tiago_ext4_write,21.544
tiago_ext4_write,21.319
tiago_ext4_write,21.306
tiago_ext4_write,21.204
tiago_ext4_write,21.047
tiago_ext4_write,20.993
tiago_ext4_write,20.915
tiago_ext4_write,20.898
tiago_ext4_write,20.89
tiago_ext4_write,20.887
tiago_ext4_write,20.862
tiago_ext4_write,20.781
tiago_ext4_write,20.666
tiago_ext4_write,20.619
tiago_ext4_write,20.597
tiago_ext4_write,20.395
tiago_ext4_write,20.293
tiago_ext4_write,20.222
tiago_ext4_write,20.21
tiago_ext4_write,20.18
tiago_ext4_write,20.171
tiago_ext4_write,20.158
tiago_ext4_write,20.133
tiago_ext4_write,20.058
tiago_ext4_write,19.979
tiago_ext4_write,19.909
tiago_ext4_write,19.883
tiago_ext4_write,19.829
tiago_ext4_write,19.78
tiago_ext4_write,19.758
tiago_ext4_write,19.738
tiago_ext4_write,19.701
