# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  9) * 15353.79 us |  sealfs_write [sealfs]();
  9) * 15263.81 us |  sealfs_write [sealfs]();
  9) * 15336.72 us |  sealfs_write [sealfs]();
  9) * 15339.99 us |  sealfs_write [sealfs]();
  9) * 15409.08 us |  sealfs_write [sealfs]();
  9) * 15260.13 us |  sealfs_write [sealfs]();
  9) * 15377.65 us |  sealfs_write [sealfs]();
  1) * 17094.55 us |  sealfs_write [sealfs]();
  1) * 15347.20 us |  sealfs_write [sealfs]();
  9) * 15305.70 us |  sealfs_write [sealfs]();
  1) * 15366.27 us |  sealfs_write [sealfs]();
  1) * 17273.86 us |  sealfs_write [sealfs]();
  1) * 17032.43 us |  sealfs_write [sealfs]();
  1) * 16176.36 us |  sealfs_write [sealfs]();
  1) * 17440.68 us |  sealfs_write [sealfs]();
  1) * 15346.37 us |  sealfs_write [sealfs]();
  9) * 15535.91 us |  sealfs_write [sealfs]();
  9) * 15517.52 us |  sealfs_write [sealfs]();
  9) * 15523.05 us |  sealfs_write [sealfs]();
  9) * 15376.18 us |  sealfs_write [sealfs]();
  9) * 15501.30 us |  sealfs_write [sealfs]();
  9) * 15607.94 us |  sealfs_write [sealfs]();
  9) * 15342.62 us |  sealfs_write [sealfs]();
  9) * 15633.67 us |  sealfs_write [sealfs]();
  9) * 16958.20 us |  sealfs_write [sealfs]();
  9) * 15228.51 us |  sealfs_write [sealfs]();
  9) * 15321.68 us |  sealfs_write [sealfs]();
  9) * 16522.01 us |  sealfs_write [sealfs]();
  9) * 15349.94 us |  sealfs_write [sealfs]();
  9) * 15250.95 us |  sealfs_write [sealfs]();
  9) * 15531.12 us |  sealfs_write [sealfs]();
  9) * 15331.86 us |  sealfs_write [sealfs]();
  9) * 15403.63 us |  sealfs_write [sealfs]();
  9) * 15562.44 us |  sealfs_write [sealfs]();
  1) * 15387.02 us |  sealfs_write [sealfs]();
  9) * 15240.82 us |  sealfs_write [sealfs]();
  9) * 17328.75 us |  sealfs_write [sealfs]();
  9) * 15313.92 us |  sealfs_write [sealfs]();
  9) * 15538.71 us |  sealfs_write [sealfs]();
  9) * 15269.89 us |  sealfs_write [sealfs]();
  1) * 15317.81 us |  sealfs_write [sealfs]();
  1) * 15417.33 us |  sealfs_write [sealfs]();
  1) * 15341.34 us |  sealfs_write [sealfs]();
  1) * 15352.45 us |  sealfs_write [sealfs]();
  1) * 17334.39 us |  sealfs_write [sealfs]();
  9) * 15232.04 us |  sealfs_write [sealfs]();
  9) * 17303.61 us |  sealfs_write [sealfs]();
  9) * 15226.48 us |  sealfs_write [sealfs]();
  9) * 15406.65 us |  sealfs_write [sealfs]();
  9) * 15282.79 us |  sealfs_write [sealfs]();
  9) * 15442.96 us |  sealfs_write [sealfs]();
  9) * 17104.72 us |  sealfs_write [sealfs]();
  9) * 15392.33 us |  sealfs_write [sealfs]();
  9) * 15235.53 us |  sealfs_write [sealfs]();
  9) * 15361.42 us |  sealfs_write [sealfs]();
  9) * 15267.25 us |  sealfs_write [sealfs]();
  9) * 15644.16 us |  sealfs_write [sealfs]();
  9) * 17327.58 us |  sealfs_write [sealfs]();
  9) * 17150.81 us |  sealfs_write [sealfs]();
  9) * 16069.32 us |  sealfs_write [sealfs]();
  9) * 15323.51 us |  sealfs_write [sealfs]();
  9) * 15269.83 us |  sealfs_write [sealfs]();
  1) * 15329.81 us |  sealfs_write [sealfs]();
  1) * 15249.89 us |  sealfs_write [sealfs]();
  9) * 15407.34 us |  sealfs_write [sealfs]();
  9) * 15249.68 us |  sealfs_write [sealfs]();
  9) * 15331.05 us |  sealfs_write [sealfs]();
  9) * 15542.76 us |  sealfs_write [sealfs]();
  9) * 15692.14 us |  sealfs_write [sealfs]();
  9) * 15575.29 us |  sealfs_write [sealfs]();
  9) * 15439.22 us |  sealfs_write [sealfs]();
  9) * 15259.97 us |  sealfs_write [sealfs]();
  9) * 15369.15 us |  sealfs_write [sealfs]();
  9) * 15479.29 us |  sealfs_write [sealfs]();
  1) * 15486.99 us |  sealfs_write [sealfs]();
  9) * 15269.30 us |  sealfs_write [sealfs]();
  9) * 15386.37 us |  sealfs_write [sealfs]();
  1) * 15426.44 us |  sealfs_write [sealfs]();
  1) * 15384.21 us |  sealfs_write [sealfs]();
  1) * 15319.00 us |  sealfs_write [sealfs]();
  1) * 15597.60 us |  sealfs_write [sealfs]();
  1) * 15393.63 us |  sealfs_write [sealfs]();
  1) * 15378.47 us |  sealfs_write [sealfs]();
  1)               |  sealfs_write [sealfs]() {
  9) * 15321.08 us |  } /* sealfs_write [sealfs] */
  1) * 15384.23 us |  sealfs_write [sealfs]();
  1) * 15388.28 us |  sealfs_write [sealfs]();
  9) * 15329.00 us |  sealfs_write [sealfs]();
  9) * 15343.74 us |  sealfs_write [sealfs]();
  9) * 15387.49 us |  sealfs_write [sealfs]();
  9) * 15283.72 us |  sealfs_write [sealfs]();
  9) * 15483.28 us |  sealfs_write [sealfs]();
  1) * 15412.01 us |  sealfs_write [sealfs]();
  1) * 15330.09 us |  sealfs_write [sealfs]();
  1) * 15205.23 us |  sealfs_write [sealfs]();
  1) * 15302.64 us |  sealfs_write [sealfs]();
  1) * 15173.99 us |  sealfs_write [sealfs]();
  1)               |  sealfs_write [sealfs]() {
  9) * 15240.66 us |  } /* sealfs_write [sealfs] */
  9) * 15105.55 us |  sealfs_write [sealfs]();
  9) * 15223.31 us |  sealfs_write [sealfs]();
  9) * 15037.49 us |  sealfs_write [sealfs]();
  9) * 15084.61 us |  sealfs_write [sealfs]();
  9) * 15006.79 us |  sealfs_write [sealfs]();
  9) * 14979.81 us |  sealfs_write [sealfs]();
  9) * 14853.50 us |  sealfs_write [sealfs]();
  9) * 15116.67 us |  sealfs_write [sealfs]();
  1) * 15244.28 us |  sealfs_write [sealfs]();
  1) * 15409.57 us |  sealfs_write [sealfs]();
  9) * 17199.33 us |  sealfs_write [sealfs]();
  1) * 15634.00 us |  sealfs_write [sealfs]();
  1) * 15419.25 us |  sealfs_write [sealfs]();
  1) * 15555.72 us |  sealfs_write [sealfs]();
  1) * 15408.28 us |  sealfs_write [sealfs]();
  1) * 15498.74 us |  sealfs_write [sealfs]();
  1) * 15384.66 us |  sealfs_write [sealfs]();
  1) * 15582.33 us |  sealfs_write [sealfs]();
  1) * 15298.11 us |  sealfs_write [sealfs]();
  1) * 15371.40 us |  sealfs_write [sealfs]();
  1) * 15287.92 us |  sealfs_write [sealfs]();
  9) * 15390.77 us |  sealfs_write [sealfs]();
  9) * 15426.74 us |  sealfs_write [sealfs]();
  9) * 15427.60 us |  sealfs_write [sealfs]();
  9) * 15459.15 us |  sealfs_write [sealfs]();
  9) * 15354.87 us |  sealfs_write [sealfs]();
  9) * 15242.31 us |  sealfs_write [sealfs]();
  9) * 15353.29 us |  sealfs_write [sealfs]();
  9) * 15349.87 us |  sealfs_write [sealfs]();
  9) * 15467.50 us |  sealfs_write [sealfs]();
  9) * 15328.00 us |  sealfs_write [sealfs]();
  9) * 15393.23 us |  sealfs_write [sealfs]();
  9) * 15489.61 us |  sealfs_write [sealfs]();
  9) * 15497.19 us |  sealfs_write [sealfs]();
  9) * 15296.30 us |  sealfs_write [sealfs]();
  9) * 15418.57 us |  sealfs_write [sealfs]();
  9) * 15276.58 us |  sealfs_write [sealfs]();
  9) * 15391.36 us |  sealfs_write [sealfs]();
  9) * 15302.78 us |  sealfs_write [sealfs]();
  9) * 15392.89 us |  sealfs_write [sealfs]();
  9) * 15409.78 us |  sealfs_write [sealfs]();
  9) * 15519.29 us |  sealfs_write [sealfs]();
  9) * 15340.91 us |  sealfs_write [sealfs]();
  9) * 15381.00 us |  sealfs_write [sealfs]();
  9) * 15414.32 us |  sealfs_write [sealfs]();
  9) * 15509.36 us |  sealfs_write [sealfs]();
  9) * 15365.09 us |  sealfs_write [sealfs]();
  9) * 15450.46 us |  sealfs_write [sealfs]();
  9) * 15379.51 us |  sealfs_write [sealfs]();
  9) * 15457.91 us |  sealfs_write [sealfs]();
  9) * 15409.79 us |  sealfs_write [sealfs]();
  9) * 15499.65 us |  sealfs_write [sealfs]();
  9) * 15392.76 us |  sealfs_write [sealfs]();
  9) * 15396.90 us |  sealfs_write [sealfs]();
