# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 12) + 77.169 us   |  sealfs_write [sealfs]();
 12) + 63.893 us   |  sealfs_write [sealfs]();
 12) + 74.126 us   |  sealfs_write [sealfs]();
 12) + 84.388 us   |  sealfs_write [sealfs]();
 12) + 72.394 us   |  sealfs_write [sealfs]();
 12) + 71.994 us   |  sealfs_write [sealfs]();
 12) + 74.488 us   |  sealfs_write [sealfs]();
 12) + 67.333 us   |  sealfs_write [sealfs]();
 12) + 73.316 us   |  sealfs_write [sealfs]();
 12) + 65.834 us   |  sealfs_write [sealfs]();
 12) + 69.868 us   |  sealfs_write [sealfs]();
 12) + 66.432 us   |  sealfs_write [sealfs]();
 12) + 69.382 us   |  sealfs_write [sealfs]();
 12) + 66.160 us   |  sealfs_write [sealfs]();
 12) + 68.801 us   |  sealfs_write [sealfs]();
 12) + 69.908 us   |  sealfs_write [sealfs]();
 12) + 72.853 us   |  sealfs_write [sealfs]();
 12) + 72.510 us   |  sealfs_write [sealfs]();
 12) + 71.142 us   |  sealfs_write [sealfs]();
 12) + 72.693 us   |  sealfs_write [sealfs]();
 12) + 73.437 us   |  sealfs_write [sealfs]();
 12) + 70.546 us   |  sealfs_write [sealfs]();
 12) + 74.806 us   |  sealfs_write [sealfs]();
 12) + 75.337 us   |  sealfs_write [sealfs]();
 12) + 74.088 us   |  sealfs_write [sealfs]();
 12) + 71.357 us   |  sealfs_write [sealfs]();
 12) + 76.817 us   |  sealfs_write [sealfs]();
 12) + 69.333 us   |  sealfs_write [sealfs]();
 12) + 76.536 us   |  sealfs_write [sealfs]();
 12) + 65.566 us   |  sealfs_write [sealfs]();
 12) + 68.919 us   |  sealfs_write [sealfs]();
 12) + 66.633 us   |  sealfs_write [sealfs]();
 12) + 70.069 us   |  sealfs_write [sealfs]();
 12) + 62.982 us   |  sealfs_write [sealfs]();
 12) + 82.562 us   |  sealfs_write [sealfs]();
 12) + 69.245 us   |  sealfs_write [sealfs]();
 12) + 71.063 us   |  sealfs_write [sealfs]();
 12) + 61.273 us   |  sealfs_write [sealfs]();
 12) + 68.423 us   |  sealfs_write [sealfs]();
 12) + 64.439 us   |  sealfs_write [sealfs]();
 12) + 78.454 us   |  sealfs_write [sealfs]();
 12) + 67.870 us   |  sealfs_write [sealfs]();
 12) + 76.723 us   |  sealfs_write [sealfs]();
 12) + 68.450 us   |  sealfs_write [sealfs]();
 12) + 68.072 us   |  sealfs_write [sealfs]();
 12) + 69.945 us   |  sealfs_write [sealfs]();
 12) + 69.210 us   |  sealfs_write [sealfs]();
 12) ! 114.309 us  |  sealfs_write [sealfs]();
 12) + 71.769 us   |  sealfs_write [sealfs]();
 12) + 68.786 us   |  sealfs_write [sealfs]();
 12) + 68.369 us   |  sealfs_write [sealfs]();
 12) + 67.842 us   |  sealfs_write [sealfs]();
 12) + 72.215 us   |  sealfs_write [sealfs]();
 12) + 66.709 us   |  sealfs_write [sealfs]();
 12) + 68.385 us   |  sealfs_write [sealfs]();
 12) + 68.828 us   |  sealfs_write [sealfs]();
  8) + 71.962 us   |  sealfs_write [sealfs]();
  8) + 68.594 us   |  sealfs_write [sealfs]();
  8) + 78.036 us   |  sealfs_write [sealfs]();
  8) + 71.650 us   |  sealfs_write [sealfs]();
  8) + 80.064 us   |  sealfs_write [sealfs]();
  8) + 67.715 us   |  sealfs_write [sealfs]();
  8) + 79.065 us   |  sealfs_write [sealfs]();
  8) + 65.702 us   |  sealfs_write [sealfs]();
  8) + 78.656 us   |  sealfs_write [sealfs]();
  8) + 61.869 us   |  sealfs_write [sealfs]();
  8) + 80.847 us   |  sealfs_write [sealfs]();
  8) + 70.371 us   |  sealfs_write [sealfs]();
  8) ! 102.703 us  |  sealfs_write [sealfs]();
  8) + 67.334 us   |  sealfs_write [sealfs]();
  8) + 69.936 us   |  sealfs_write [sealfs]();
  8) + 67.480 us   |  sealfs_write [sealfs]();
  8) + 84.392 us   |  sealfs_write [sealfs]();
  8) + 67.993 us   |  sealfs_write [sealfs]();
  8) + 80.920 us   |  sealfs_write [sealfs]();
  8) + 68.732 us   |  sealfs_write [sealfs]();
  8) + 74.857 us   |  sealfs_write [sealfs]();
  8) + 68.920 us   |  sealfs_write [sealfs]();
  8) + 77.488 us   |  sealfs_write [sealfs]();
  8) + 72.328 us   |  sealfs_write [sealfs]();
  8) + 78.118 us   |  sealfs_write [sealfs]();
  8) + 80.322 us   |  sealfs_write [sealfs]();
  8) + 69.304 us   |  sealfs_write [sealfs]();
  8) + 68.655 us   |  sealfs_write [sealfs]();
  8) + 89.776 us   |  sealfs_write [sealfs]();
  8) + 69.606 us   |  sealfs_write [sealfs]();
  8) + 71.646 us   |  sealfs_write [sealfs]();
  8) + 69.441 us   |  sealfs_write [sealfs]();
  8) + 76.812 us   |  sealfs_write [sealfs]();
  8) + 68.329 us   |  sealfs_write [sealfs]();
  8) + 71.122 us   |  sealfs_write [sealfs]();
  8) + 67.704 us   |  sealfs_write [sealfs]();
  8) + 78.203 us   |  sealfs_write [sealfs]();
  8) + 61.441 us   |  sealfs_write [sealfs]();
  8) + 76.249 us   |  sealfs_write [sealfs]();
  8) + 66.005 us   |  sealfs_write [sealfs]();
  8) + 82.486 us   |  sealfs_write [sealfs]();
  8) + 66.653 us   |  sealfs_write [sealfs]();
  8) + 85.964 us   |  sealfs_write [sealfs]();
  8) + 67.561 us   |  sealfs_write [sealfs]();
  8) + 75.738 us   |  sealfs_write [sealfs]();
  8) + 73.564 us   |  sealfs_write [sealfs]();
  8) + 85.160 us   |  sealfs_write [sealfs]();
  8) # 6745.129 us |  sealfs_write [sealfs]();
  8) + 75.093 us   |  sealfs_write [sealfs]();
  8) + 68.012 us   |  sealfs_write [sealfs]();
  8) + 90.975 us   |  sealfs_write [sealfs]();
  8) + 70.424 us   |  sealfs_write [sealfs]();
  8) + 87.021 us   |  sealfs_write [sealfs]();
  8) + 69.798 us   |  sealfs_write [sealfs]();
  8) + 68.988 us   |  sealfs_write [sealfs]();
  8) + 77.281 us   |  sealfs_write [sealfs]();
  8) + 72.374 us   |  sealfs_write [sealfs]();
  8) + 63.945 us   |  sealfs_write [sealfs]();
  8) + 83.822 us   |  sealfs_write [sealfs]();
  8) + 67.119 us   |  sealfs_write [sealfs]();
 12) + 74.163 us   |  sealfs_write [sealfs]();
 12) + 69.247 us   |  sealfs_write [sealfs]();
 12) + 85.442 us   |  sealfs_write [sealfs]();
 12) + 69.379 us   |  sealfs_write [sealfs]();
 12) + 74.681 us   |  sealfs_write [sealfs]();
 12) + 71.731 us   |  sealfs_write [sealfs]();
 12) + 73.210 us   |  sealfs_write [sealfs]();
 12) + 69.505 us   |  sealfs_write [sealfs]();
 12) + 72.930 us   |  sealfs_write [sealfs]();
 12) + 63.920 us   |  sealfs_write [sealfs]();
 12) + 73.728 us   |  sealfs_write [sealfs]();
 12) + 67.998 us   |  sealfs_write [sealfs]();
 12) + 74.050 us   |  sealfs_write [sealfs]();
 12) + 67.485 us   |  sealfs_write [sealfs]();
 12) + 69.465 us   |  sealfs_write [sealfs]();
 12) + 69.430 us   |  sealfs_write [sealfs]();
 12) + 67.313 us   |  sealfs_write [sealfs]();
 12) + 68.732 us   |  sealfs_write [sealfs]();
 12) + 66.878 us   |  sealfs_write [sealfs]();
 12) + 67.239 us   |  sealfs_write [sealfs]();
 12) + 74.386 us   |  sealfs_write [sealfs]();
 12) + 67.154 us   |  sealfs_write [sealfs]();
 12) + 70.602 us   |  sealfs_write [sealfs]();
 12) + 70.475 us   |  sealfs_write [sealfs]();
  8) + 75.534 us   |  sealfs_write [sealfs]();
  8) + 70.422 us   |  sealfs_write [sealfs]();
  8) + 80.573 us   |  sealfs_write [sealfs]();
  8) + 68.958 us   |  sealfs_write [sealfs]();
  8) + 78.430 us   |  sealfs_write [sealfs]();
  8) + 65.956 us   |  sealfs_write [sealfs]();
  8) + 93.317 us   |  sealfs_write [sealfs]();
  8) + 65.174 us   |  sealfs_write [sealfs]();
  8) + 81.742 us   |  sealfs_write [sealfs]();
  8) + 68.150 us   |  sealfs_write [sealfs]();
  8) + 73.927 us   |  sealfs_write [sealfs]();
  8) + 71.692 us   |  sealfs_write [sealfs]();
  8) + 80.803 us   |  sealfs_write [sealfs]();
  8) + 75.149 us   |  sealfs_write [sealfs]();
  8) + 74.726 us   |  sealfs_write [sealfs]();
  8) + 71.670 us   |  sealfs_write [sealfs]();
  8) + 81.334 us   |  sealfs_write [sealfs]();
  8) + 74.481 us   |  sealfs_write [sealfs]();
  8) + 83.148 us   |  sealfs_write [sealfs]();
  8) + 67.807 us   |  sealfs_write [sealfs]();
  8) + 69.366 us   |  sealfs_write [sealfs]();
  8) + 78.658 us   |  sealfs_write [sealfs]();
  8) + 67.871 us   |  sealfs_write [sealfs]();
  8) + 72.742 us   |  sealfs_write [sealfs]();
  8) + 71.899 us   |  sealfs_write [sealfs]();
 12) + 75.272 us   |  sealfs_write [sealfs]();
 12) + 67.682 us   |  sealfs_write [sealfs]();
 12) + 67.623 us   |  sealfs_write [sealfs]();
 12) + 72.683 us   |  sealfs_write [sealfs]();
 12) + 64.258 us   |  sealfs_write [sealfs]();
 12) + 69.949 us   |  sealfs_write [sealfs]();
  8) + 71.937 us   |  sealfs_write [sealfs]();
  8) + 66.326 us   |  sealfs_write [sealfs]();
  8) + 65.737 us   |  sealfs_write [sealfs]();
  8) + 70.962 us   |  sealfs_write [sealfs]();
  8) + 66.930 us   |  sealfs_write [sealfs]();
  8) + 80.733 us   |  sealfs_write [sealfs]();
  8) + 63.580 us   |  sealfs_write [sealfs]();
  8) + 69.852 us   |  sealfs_write [sealfs]();
  8) + 67.337 us   |  sealfs_write [sealfs]();
  8) + 73.708 us   |  sealfs_write [sealfs]();
  8) + 64.691 us   |  sealfs_write [sealfs]();
  8) + 80.278 us   |  sealfs_write [sealfs]();
  8) + 64.512 us   |  sealfs_write [sealfs]();
  8) + 78.318 us   |  sealfs_write [sealfs]();
  8) + 73.015 us   |  sealfs_write [sealfs]();
  8) + 71.892 us   |  sealfs_write [sealfs]();
