# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  8) + 68.938 us   |  sealfs_write [sealfs]();
  8) + 65.192 us   |  sealfs_write [sealfs]();
  8) + 69.037 us   |  sealfs_write [sealfs]();
  8) + 68.714 us   |  sealfs_write [sealfs]();
  8) + 75.958 us   |  sealfs_write [sealfs]();
  8) + 69.386 us   |  sealfs_write [sealfs]();
  8) + 72.541 us   |  sealfs_write [sealfs]();
  8) + 64.214 us   |  sealfs_write [sealfs]();
  8) + 74.725 us   |  sealfs_write [sealfs]();
  8) + 61.275 us   |  sealfs_write [sealfs]();
  8) + 72.747 us   |  sealfs_write [sealfs]();
  8) + 70.986 us   |  sealfs_write [sealfs]();
  8) + 77.158 us   |  sealfs_write [sealfs]();
  8) + 64.777 us   |  sealfs_write [sealfs]();
  1) + 69.488 us   |  sealfs_write [sealfs]();
  1) + 70.135 us   |  sealfs_write [sealfs]();
  1) + 69.881 us   |  sealfs_write [sealfs]();
  1) + 67.787 us   |  sealfs_write [sealfs]();
  1) + 73.755 us   |  sealfs_write [sealfs]();
  1) + 65.395 us   |  sealfs_write [sealfs]();
  1) + 70.543 us   |  sealfs_write [sealfs]();
