# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1)   0.689 us    |  sealfs_show_options [sealfs]();
 1)   0.474 us    |  sealfs_show_options [sealfs]();
 1)   0.619 us    |  sealfs_show_options [sealfs]();
 1)   0.635 us    |  sealfs_show_options [sealfs]();
 1)   0.739 us    |  sealfs_show_options [sealfs]();
 1)   0.480 us    |  sealfs_show_options [sealfs]();
 1)   0.562 us    |  sealfs_show_options [sealfs]();
 1)   0.469 us    |  sealfs_show_options [sealfs]();
 1)   0.570 us    |  sealfs_show_options [sealfs]();
 1)   0.469 us    |  sealfs_show_options [sealfs]();
 1)   0.584 us    |  sealfs_show_options [sealfs]();
 1)   0.485 us    |  sealfs_show_options [sealfs]();
 1)   0.584 us    |  sealfs_show_options [sealfs]();
 1)   0.465 us    |  sealfs_show_options [sealfs]();
 1)   0.567 us    |  sealfs_show_options [sealfs]();
 1)   0.484 us    |  sealfs_show_options [sealfs]();
 1)   0.585 us    |  sealfs_show_options [sealfs]();
 1)   0.489 us    |  sealfs_show_options [sealfs]();
 1)   0.625 us    |  sealfs_show_options [sealfs]();
 1)   0.481 us    |  sealfs_show_options [sealfs]();
 1)   0.570 us    |  sealfs_show_options [sealfs]();
 1)   0.488 us    |  sealfs_show_options [sealfs]();
 1)   0.576 us    |  sealfs_show_options [sealfs]();
 1)   0.703 us    |  sealfs_show_options [sealfs]();
 1)   0.627 us    |  sealfs_show_options [sealfs]();
 1)   0.499 us    |  sealfs_show_options [sealfs]();
 1)   0.601 us    |  sealfs_show_options [sealfs]();
 1)   0.614 us    |  sealfs_show_options [sealfs]();
 1)   0.539 us    |  sealfs_show_options [sealfs]();
 1)   1.380 us    |  sealfs_show_options [sealfs]();
 1)   0.756 us    |  sealfs_show_options [sealfs]();
 1)   0.557 us    |  sealfs_show_options [sealfs]();
 1)   0.668 us    |  sealfs_show_options [sealfs]();
 1)   0.409 us    |  sealfs_show_options [sealfs]();
 6) + 36.280 us   |  sealfs_write [sealfs]();
 6) + 74.321 us   |  sealfs_write [sealfs]();
 7) + 64.991 us   |  sealfs_write [sealfs]();
 7) + 78.695 us   |  sealfs_write [sealfs]();
 7) + 36.070 us   |  sealfs_write [sealfs]();
 7) + 76.242 us   |  sealfs_write [sealfs]();
 5) + 43.099 us   |  sealfs_write [sealfs]();
 5) + 97.846 us   |  sealfs_write [sealfs]();
 6) + 38.564 us   |  sealfs_write [sealfs]();
 6) + 86.103 us   |  sealfs_write [sealfs]();
 6) + 37.073 us   |  sealfs_write [sealfs]();
 6) + 82.639 us   |  sealfs_write [sealfs]();
 7) + 38.993 us   |  sealfs_write [sealfs]();
 7) ! 111.262 us  |  sealfs_write [sealfs]();
 ------------------------------------------
 1)  <...>-484944  => ros1sea-483494
 ------------------------------------------

 1) + 45.360 us   |  sealfs_write [sealfs]();
 1) + 70.771 us   |  sealfs_write [sealfs]();
 3) + 40.342 us   |  sealfs_write [sealfs]();
 3) + 73.512 us   |  sealfs_write [sealfs]();
 1) + 42.610 us   |  sealfs_write [sealfs]();
 1) + 86.750 us   |  sealfs_write [sealfs]();
 1) + 32.592 us   |  sealfs_write [sealfs]();
 1) + 76.716 us   |  sealfs_write [sealfs]();
 1) + 55.610 us   |  sealfs_write [sealfs]();
 1) + 76.898 us   |  sealfs_write [sealfs]();
 1) + 40.572 us   |  sealfs_write [sealfs]();
 1) + 86.226 us   |  sealfs_write [sealfs]();
 2) + 37.158 us   |  sealfs_write [sealfs]();
 2) + 77.076 us   |  sealfs_write [sealfs]();
 2) + 31.400 us   |  sealfs_write [sealfs]();
 2) + 73.538 us   |  sealfs_write [sealfs]();
 5) + 39.465 us   |  sealfs_write [sealfs]();
 5) + 99.983 us   |  sealfs_write [sealfs]();
 3) + 40.600 us   |  sealfs_write [sealfs]();
 3) + 85.711 us   |  sealfs_write [sealfs]();
 3) + 37.518 us   |  sealfs_write [sealfs]();
 3) + 76.129 us   |  sealfs_write [sealfs]();
 3) + 39.372 us   |  sealfs_write [sealfs]();
 3) + 93.392 us   |  sealfs_write [sealfs]();
 5) + 55.191 us   |  sealfs_write [sealfs]();
 5) + 75.383 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 5) ros1sea-483494 =>  collect-1281 
 ------------------------------------------

 5)   2.035 us    |  sealfs_show_options [sealfs]();
 5)   1.091 us    |  sealfs_statfs [sealfs]();
 ------------------------------------------
 5)  collect-1281  => ros1sea-483494
 ------------------------------------------

 5) + 32.389 us   |  sealfs_write [sealfs]();
 5) + 83.183 us   |  sealfs_write [sealfs]();
 5) + 42.524 us   |  sealfs_write [sealfs]();
 5) + 97.710 us   |  sealfs_write [sealfs]();
 0) + 49.113 us   |  sealfs_write [sealfs]();
 0) ! 106.412 us  |  sealfs_write [sealfs]();
 0) + 40.816 us   |  sealfs_write [sealfs]();
 0) + 82.836 us   |  sealfs_write [sealfs]();
 5) + 36.683 us   |  sealfs_write [sealfs]();
 5) + 75.065 us   |  sealfs_write [sealfs]();
 5) + 48.375 us   |  sealfs_write [sealfs]();
 5) + 75.574 us   |  sealfs_write [sealfs]();
 5) + 32.165 us   |  sealfs_write [sealfs]();
 5) + 73.817 us   |  sealfs_write [sealfs]();
 5) + 50.229 us   |  sealfs_write [sealfs]();
 5) + 80.493 us   |  sealfs_write [sealfs]();
 6) + 43.406 us   |  sealfs_write [sealfs]();
 6) + 81.232 us   |  sealfs_write [sealfs]();
 6) + 47.767 us   |  sealfs_write [sealfs]();
 6) + 81.849 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 4)  <...>-484458  => ros1sea-483494
 ------------------------------------------

 4) + 33.064 us   |  sealfs_write [sealfs]();
 4) + 73.831 us   |  sealfs_write [sealfs]();
 3) + 51.032 us   |  sealfs_write [sealfs]();
 3) + 99.634 us   |  sealfs_write [sealfs]();
 0) + 33.752 us   |  sealfs_write [sealfs]();
 0) + 77.533 us   |  sealfs_write [sealfs]();
 7) + 48.915 us   |  sealfs_write [sealfs]();
 7) ! 103.074 us  |  sealfs_write [sealfs]();
 7) + 38.533 us   |  sealfs_write [sealfs]();
 7) + 78.147 us   |  sealfs_write [sealfs]();
 6) + 44.180 us   |  sealfs_write [sealfs]();
 6) ! 118.626 us  |  sealfs_write [sealfs]();
 6) + 47.376 us   |  sealfs_write [sealfs]();
 6) + 75.065 us   |  sealfs_write [sealfs]();
 2) + 37.081 us   |  sealfs_write [sealfs]();
 2) + 85.490 us   |  sealfs_write [sealfs]();
 2) ! 104.601 us  |  sealfs_write [sealfs]();
 4) + 35.581 us   |  sealfs_write [sealfs]();
 4) + 72.875 us   |  sealfs_write [sealfs]();
 4) + 34.013 us   |  sealfs_write [sealfs]();
 4) + 91.319 us   |  sealfs_write [sealfs]();
 4) + 36.586 us   |  sealfs_write [sealfs]();
 4) + 83.041 us   |  sealfs_write [sealfs]();
 3) + 44.011 us   |  sealfs_write [sealfs]();
 3) + 73.956 us   |  sealfs_write [sealfs]();
