# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 4)   df-365043    => ros1sea-362505
 ------------------------------------------

 4) * 11358.46 us |  sealfs_write [sealfs]();
 5) * 11291.06 us |  sealfs_write [sealfs]();
 5) * 11425.67 us |  sealfs_write [sealfs]();
 5) * 10813.28 us |  sealfs_write [sealfs]();
 ------------------------------------------
 0) ros1sea-362505 =>  <...>-365932 
 ------------------------------------------

 0)   2.861 us    |  sealfs_show_options [sealfs]();
 0)   1.010 us    |  sealfs_show_options [sealfs]();
 0)   0.743 us    |  sealfs_show_options [sealfs]();
 0)   0.611 us    |  sealfs_show_options [sealfs]();
 0)   0.704 us    |  sealfs_show_options [sealfs]();
 0)   0.647 us    |  sealfs_show_options [sealfs]();
 0)   0.695 us    |  sealfs_show_options [sealfs]();
 0)   0.680 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 4) ros1sea-362505 =>  <...>-365932 
 ------------------------------------------

 4)   1.337 us    |  sealfs_show_options [sealfs]();
 4)   0.515 us    |  sealfs_show_options [sealfs]();
 0)   0.836 us    |  sealfs_show_options [sealfs]();
 0)   0.475 us    |  sealfs_show_options [sealfs]();
 4)   0.622 us    |  sealfs_show_options [sealfs]();
 4)   0.464 us    |  sealfs_show_options [sealfs]();
 4)   0.851 us    |  sealfs_show_options [sealfs]();
 4)   0.708 us    |  sealfs_show_options [sealfs]();
 4)   0.614 us    |  sealfs_show_options [sealfs]();
 4)   0.616 us    |  sealfs_show_options [sealfs]();
 4)   0.532 us    |  sealfs_show_options [sealfs]();
 4)   0.680 us    |  sealfs_show_options [sealfs]();
 4)   0.700 us    |  sealfs_show_options [sealfs]();
 4)   0.741 us    |  sealfs_show_options [sealfs]();
 4)   0.908 us    |  sealfs_show_options [sealfs]();
 4)   0.469 us    |  sealfs_show_options [sealfs]();
 4)   0.534 us    |  sealfs_show_options [sealfs]();
 4)   0.440 us    |  sealfs_show_options [sealfs]();
 4)   0.563 us    |  sealfs_show_options [sealfs]();
 4)   0.517 us    |  sealfs_show_options [sealfs]();
 4)   0.555 us    |  sealfs_show_options [sealfs]();
 4)   0.491 us    |  sealfs_show_options [sealfs]();
 4)   0.724 us    |  sealfs_show_options [sealfs]();
 4)   0.477 us    |  sealfs_show_options [sealfs]();
 4)   0.528 us    |  sealfs_show_options [sealfs]();
