TiAGo Throughtput on All Tests,Bandwidth (kB/s)
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
sealfs_video,10670.08
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
ext4_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
sealfs_video,10680.32
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
ext4_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
sealfs_video,10690.56
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
ext4_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
sealfs_video,10700.8
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
ext4_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
sealfs_video,10711.04
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
ext4_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
