TiAGo Throughtput on Audio Test,Bandwidth (kB/s)
sealfs,138.73
ext4,138.72
sealfs,138.72
sealfs,138.72
ext4,138.71
ext4,138.71
ext4,138.71
ext4,138.71
ext4,138.7
ext4,138.7
ext4,138.7
ext4,138.69
ext4,138.69
ext4,138.69
sealfs,138.69
ext4,138.68
ext4,138.68
ext4,138.67
ext4,138.67
ext4,138.67
ext4,138.67
sealfs,138.67
ext4,138.66
sealfs,138.66
sealfs,138.66
sealfs,138.66
sealfs,138.66
sealfs,138.66
ext4,138.65
ext4,138.65
ext4,138.65
ext4,138.65
sealfs,138.65
ext4,138.64
ext4,138.64
ext4,138.63
sealfs,138.63
ext4,138.62
ext4,138.62
ext4,138.62
ext4,138.62
ext4,138.62
ext4,138.62
sealfs,138.62
ext4,138.61
ext4,138.61
ext4,138.61
ext4,138.6
ext4,138.6
sealfs,138.6
ext4,138.59
ext4,138.59
sealfs,138.59
ext4,138.58
ext4,138.58
ext4,138.58
ext4,138.58
sealfs,138.58
sealfs,138.58
sealfs,138.56
sealfs,138.56
ext4,138.55
sealfs,138.55
ext4,138.54
ext4,138.54
sealfs,138.54
ext4,138.53
sealfs,138.53
sealfs,138.53
ext4,138.52
ext4,138.52
ext4,138.52
ext4,138.52
ext4,138.52
sealfs,138.52
ext4,138.51
ext4,138.51
ext4,138.51
sealfs,138.51
ext4,138.5
ext4,138.5
sealfs,138.49
sealfs,138.48
ext4,138.47
ext4,138.47
ext4,138.47
sealfs,138.47
ext4,138.46
ext4,138.46
ext4,138.46
ext4,138.46
ext4,138.46
sealfs,138.46
ext4,138.45
ext4,138.45
ext4,138.45
sealfs,138.45
sealfs,138.45
ext4,138.44
ext4,138.44
ext4,138.44
ext4,138.44
sealfs,138.44
ext4,138.43
ext4,138.43
ext4,138.43
ext4,138.43
sealfs,138.43
sealfs,138.43
sealfs,138.43
sealfs,138.43
ext4,138.42
ext4,138.42
ext4,138.41
ext4,138.41
sealfs,138.4
sealfs,138.39
sealfs,138.38
sealfs,138.38
ext4,138.37
ext4,138.36
sealfs,138.35
sealfs,138.35
sealfs,138.34
sealfs,138.34
sealfs,138.33
sealfs,138.33
sealfs,138.32
ext4,138.31
ext4,138.31
ext4,138.31
ext4,138.31
ext4,138.31
ext4,138.31
ext4,138.31
sealfs,138.31
sealfs,138.3
sealfs,138.3
sealfs,138.3
ext4,138.29
sealfs,138.29
sealfs,138.29
ext4,138.28
ext4,138.27
ext4,138.27
ext4,138.27
sealfs,138.27
ext4,138.26
sealfs,138.26
sealfs,138.25
ext4,138.24
ext4,138.23
sealfs,138.22
ext4,138.21
sealfs,138.2
sealfs,138.2
ext4,138.17
sealfs,138.17
sealfs,138.17
ext4,138.16
sealfs,138.16
sealfs,138.16
sealfs,138.16
ext4,138.15
ext4,138.14
ext4,138.14
ext4,138.13
ext4,138.13
ext4,138.12
sealfs,138.12
sealfs,138.12
ext4,138.11
ext4,138.11
sealfs,138.1
sealfs,138.1
sealfs,138.09
sealfs,138.08
ext4,138.07
ext4,138.07
sealfs,138.07
ext4,138.06
sealfs,138.06
ext4,138.05
sealfs,138.05
sealfs,138.05
ext4,138.02
ext4,138.02
ext4,138.02
sealfs,138.01
ext4,137.98
ext4,137.94
sealfs,137.94
ext4,137.92
ext4,137.92
ext4,137.9
sealfs,137.89
ext4,137.88
ext4,137.86
ext4,137.86
ext4,137.84
ext4,137.83
sealfs,137.82
ext4,137.81
ext4,137.8
ext4,137.79
ext4,137.79
ext4,137.78
ext4,137.77
ext4,137.75
sealfs,137.74
sealfs,137.69
sealfs,137.68
sealfs,137.66
ext4,137.64
sealfs,137.63
sealfs,137.63
sealfs,137.62
sealfs,137.6
ext4,137.58
ext4,137.57
sealfs,137.56
ext4,137.54
ext4,137.49
ext4,137.48
sealfs,137.47
sealfs,137.46
ext4,137.41
sealfs,137.37
ext4,137.31
ext4,137.3
ext4,137.29
ext4,137.26
ext4,137.17
ext4,137.11
sealfs,137.06
ext4,137.03
sealfs,137
sealfs,136.95
ext4,136.91
ext4,136.89
ext4,136.88
ext4,136.88
sealfs,136.85
sealfs,136.78
ext4,136.72
sealfs,136.68
sealfs,136.63
sealfs,136.62
sealfs,136.61
sealfs,136.58
sealfs,136.55
ext4,136.5
ext4,136.47
ext4,136.47
sealfs,136.29
ext4,136.28
sealfs,136.28
sealfs,136.22
ext4,136.17
ext4,136.15
ext4,136.1
sealfs,136.04
sealfs,136.03
sealfs,135.93
ext4,135.8
sealfs,135.8
ext4,135.78
ext4,135.73
ext4,135.72
sealfs,135.71
ext4,135.7
ext4,135.67
ext4,135.67
ext4,135.62
sealfs,135.6
sealfs,135.6
sealfs,135.59
ext4,135.56
ext4,135.53
sealfs,135.53
ext4,135.48
ext4,135.47
sealfs,135.43
ext4,135.41
sealfs,135.4
ext4,135.38
sealfs,135.38
ext4,135.37
ext4,135.31
sealfs,135.29
sealfs,135.28
ext4,135.27
sealfs,135.27
sealfs,135.26
ext4,135.25
ext4,135.23
ext4,135.23
ext4,135.21
ext4,135.16
