TiAGo Throughtput on Video Test,Bandwidth (kB/s)
sealfs,10577.92
ext4,10588.16
ext4,10588.16
ext4,10588.16
ext4,10588.16
ext4,10588.16
ext4,10588.16
ext4,10588.16
ext4,10588.16
sealfs,10588.16
sealfs,10588.16
sealfs,10588.16
sealfs,10588.16
sealfs,10588.16
sealfs,10588.16
sealfs,10588.16
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
ext4,10598.4
sealfs,10598.4
sealfs,10598.4
sealfs,10598.4
sealfs,10598.4
sealfs,10598.4
sealfs,10598.4
sealfs,10598.4
sealfs,10598.4
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
ext4,10608.64
sealfs,10608.64
sealfs,10608.64
sealfs,10608.64
sealfs,10608.64
sealfs,10608.64
sealfs,10608.64
sealfs,10608.64
sealfs,10608.64
sealfs,10608.64
sealfs,10608.64
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
ext4,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
sealfs,10618.88
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
ext4,10629.12
sealfs,10629.12
sealfs,10629.12
sealfs,10629.12
sealfs,10629.12
sealfs,10629.12
sealfs,10629.12
sealfs,10629.12
sealfs,10629.12
sealfs,10629.12
sealfs,10629.12
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
ext4,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
sealfs,10639.36
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
ext4,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
sealfs,10649.6
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
ext4,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
sealfs,10659.84
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
ext4,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
sealfs,10670.08
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
ext4,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
sealfs,10680.32
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
ext4,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
sealfs,10690.56
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
ext4,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
sealfs,10700.8
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
ext4,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
