Summit Latency on Video Test,time (uS)
ext4_write,1409.025
ext4_write,1409.098
ext4_write,1409.186
ext4_write,1409.187
ext4_write,1409.199
ext4_write,1409.264
ext4_write,1409.276
ext4_write,1409.29
ext4_write,1409.298
ext4_write,1409.313
ext4_write,1409.341
ext4_write,1409.419
ext4_write,1409.434
ext4_write,1409.498
ext4_write,1409.535
ext4_write,1409.541
ext4_write,1409.567
ext4_write,1409.572
ext4_write,1409.579
ext4_write,1409.602
ext4_write,1409.686
ext4_write,1409.697
ext4_write,1409.713
ext4_write,1409.737
ext4_write,1409.754
ext4_write,1409.828
ext4_write,1409.846
ext4_write,1409.858
ext4_write,1409.953
ext4_write,1409.963
ext4_write,1410.015
ext4_write,1410.015
ext4_write,1410.044
ext4_write,1410.117
ext4_write,1410.143
ext4_write,1410.218
ext4_write,1410.236
ext4_write,1410.285
ext4_write,1410.289
ext4_write,1410.313
ext4_write,1410.313
ext4_write,1410.321
ext4_write,1410.328
ext4_write,1410.337
ext4_write,1410.337
ext4_write,1410.358
ext4_write,1410.359
ext4_write,1410.399
ext4_write,1410.424
ext4_write,1410.44
ext4_write,1410.486
ext4_write,1410.517
ext4_write,1410.599
ext4_write,1410.624
ext4_write,1410.665
ext4_write,1410.681
ext4_write,1410.702
ext4_write,1410.705
ext4_write,1410.706
ext4_write,1410.711
ext4_write,1410.725
ext4_write,1410.726
ext4_write,1410.731
ext4_write,1410.754
ext4_write,1410.762
ext4_write,1410.782
ext4_write,1410.792
ext4_write,1410.836
ext4_write,1410.856
ext4_write,1410.88
ext4_write,1410.918
ext4_write,1410.933
ext4_write,1410.941
ext4_write,1410.996
ext4_write,1411.001
ext4_write,1411.038
ext4_write,1411.104
ext4_write,1411.111
ext4_write,1411.112
ext4_write,1411.177
ext4_write,1411.18
ext4_write,1411.268
ext4_write,1411.303
ext4_write,1411.32
ext4_write,1411.322
ext4_write,1411.36
ext4_write,1411.388
ext4_write,1411.399
ext4_write,1411.4
ext4_write,1411.42
ext4_write,1411.427
ext4_write,1411.429
ext4_write,1411.471
ext4_write,1411.485
ext4_write,1411.492
ext4_write,1411.507
ext4_write,1411.508
ext4_write,1411.515
ext4_write,1411.521
ext4_write,1411.526
ext4_write,1411.531
ext4_write,1411.583
ext4_write,1411.629
ext4_write,1411.656
ext4_write,1411.666
ext4_write,1411.684
ext4_write,1411.701
ext4_write,1411.723
ext4_write,1411.768
ext4_write,1411.768
ext4_write,1411.771
ext4_write,1411.782
ext4_write,1411.789
ext4_write,1411.864
ext4_write,1411.892
ext4_write,1411.907
ext4_write,1411.925
ext4_write,1411.94
ext4_write,1411.954
ext4_write,1411.978
ext4_write,1412.094
ext4_write,1412.095
ext4_write,1412.102
ext4_write,1412.121
ext4_write,1412.146
ext4_write,1412.169
ext4_write,1412.179
ext4_write,1412.193
ext4_write,1412.193
ext4_write,1412.22
ext4_write,1412.222
ext4_write,1412.237
ext4_write,1412.271
ext4_write,1412.281
ext4_write,1412.331
ext4_write,1412.332
ext4_write,1412.379
ext4_write,1412.398
ext4_write,1412.4
ext4_write,1412.409
ext4_write,1412.426
ext4_write,1412.428
ext4_write,1412.44
ext4_write,1412.504
ext4_write,1412.542
ext4_write,1412.563
ext4_write,1412.596
ext4_write,1412.67
ext4_write,1412.671
ext4_write,1412.706
ext4_write,1412.718
ext4_write,1412.725
ext4_write,1412.744
ext4_write,1412.746
ext4_write,1412.773
ext4_write,1412.821
ext4_write,1412.831
ext4_write,1412.837
ext4_write,1412.863
ext4_write,1412.867
ext4_write,1412.87
ext4_write,1412.873
ext4_write,1412.89
ext4_write,1412.924
ext4_write,1412.947
ext4_write,1412.996
ext4_write,1412.996
ext4_write,1413.017
ext4_write,1413.036
ext4_write,1413.037
ext4_write,1413.058
ext4_write,1413.061
ext4_write,1413.065
ext4_write,1413.115
ext4_write,1413.126
ext4_write,1413.185
ext4_write,1413.187
ext4_write,1413.212
ext4_write,1413.221
ext4_write,1413.234
ext4_write,1413.254
ext4_write,1413.272
ext4_write,1413.293
ext4_write,1413.325
ext4_write,1413.405
ext4_write,1413.419
ext4_write,1413.426
ext4_write,1413.441
ext4_write,1413.442
ext4_write,1413.455
ext4_write,1413.473
ext4_write,1413.482
ext4_write,1413.525
ext4_write,1413.552
ext4_write,1413.587
ext4_write,1413.594
ext4_write,1413.615
ext4_write,1413.639
ext4_write,1413.662
ext4_write,1413.746
ext4_write,1413.748
ext4_write,1413.8
ext4_write,1413.81
ext4_write,1413.811
ext4_write,1413.818
ext4_write,1413.881
ext4_write,1413.883
ext4_write,1413.917
ext4_write,1413.944
ext4_write,1413.949
ext4_write,1413.974
ext4_write,1414.008
ext4_write,1414.057
ext4_write,1414.066
ext4_write,1414.09
ext4_write,1414.111
ext4_write,1414.112
ext4_write,1414.126
ext4_write,1414.144
ext4_write,1414.146
ext4_write,1414.147
ext4_write,1414.167
ext4_write,1414.177
ext4_write,1414.235
ext4_write,1414.242
ext4_write,1414.26
ext4_write,1414.279
ext4_write,1414.289
ext4_write,1414.301
ext4_write,1414.341
ext4_write,1414.349
ext4_write,1414.356
ext4_write,1414.366
ext4_write,1414.418
ext4_write,1414.488
ext4_write,1414.565
ext4_write,1414.571
ext4_write,1414.578
ext4_write,1414.587
ext4_write,1414.608
ext4_write,1414.647
ext4_write,1414.648
ext4_write,1414.668
ext4_write,1414.699
ext4_write,1414.717
ext4_write,1414.774
ext4_write,1414.775
