Summit Latency on All Tests,time (uS)
sealfs_write_video,15772.83
sealfs_write_video,15770.77
sealfs_write_video,15768.7
sealfs_write_video,15766.56
sealfs_write_video,15734.36
sealfs_write_video,15732.77
sealfs_write_video,15732.6
sealfs_write_video,15725.75
sealfs_write_video,15701.78
sealfs_write_video,15701.2
sealfs_write_video,15697.15
sealfs_write_video,15692.32
sealfs_write_video,15692.14
sealfs_write_video,15687.08
sealfs_write_video,15675.17
sealfs_write_video,15673.67
sealfs_write_video,15672.15
sealfs_write_video,15668.57
sealfs_write_video,15667.93
sealfs_write_video,15667.75
sealfs_write_video,15666.91
sealfs_write_video,15666.68
sealfs_write_video,15666.6
sealfs_write_video,15665.54
sealfs_write_video,15662.11
sealfs_write_video,15656.86
sealfs_write_video,15650.67
sealfs_write_video,15647.71
sealfs_write_video,15644.16
sealfs_write_video,15639.73
sealfs_write_video,15638.09
sealfs_write_video,15634.01
sealfs_write_video,15634
sealfs_write_video,15633.67
sealfs_write_video,15630.66
sealfs_write_video,15626.62
sealfs_write_video,15618.38
sealfs_write_video,15618.03
sealfs_write_video,15617.59
sealfs_write_video,15617.43
sealfs_write_video,15608.31
sealfs_write_video,15607.94
sealfs_write_video,15606.76
sealfs_write_video,15602.4
sealfs_write_video,15600.99
sealfs_write_video,15599.1
sealfs_write_video,15598.58
sealfs_write_video,15597.6
sealfs_write_video,15596.87
sealfs_write_video,15596.18
sealfs_write_video,15593.94
sealfs_write_video,15591.91
sealfs_write_video,15589.27
sealfs_write_video,15587.61
sealfs_write_video,15585.41
sealfs_write_video,15584.62
sealfs_write_video,15584.36
sealfs_write_video,15583.95
sealfs_write_video,15582.33
sealfs_write_video,15582.32
sealfs_write_video,15581.7
sealfs_write_video,15580.07
sealfs_write_video,15579.94
sealfs_write_video,15577.4
sealfs_write_video,15577.29
sealfs_write_video,15576.5
sealfs_write_video,15575.77
sealfs_write_video,15575.29
sealfs_write_video,15573.84
sealfs_write_video,15573.49
sealfs_write_video,15571.4
sealfs_write_video,15571.21
sealfs_write_video,15570.54
sealfs_write_video,15570.48
sealfs_write_video,15567.7
sealfs_write_video,15567.4
sealfs_write_video,15565.61
sealfs_write_video,15563.91
sealfs_write_video,15563.82
sealfs_write_video,15563.34
sealfs_write_video,15563.12
sealfs_write_video,15562.45
sealfs_write_video,15562.44
sealfs_write_video,15561.66
sealfs_write_video,15561.65
sealfs_write_video,15561.4
sealfs_write_video,15558.49
sealfs_write_video,15557.77
sealfs_write_video,15555.72
sealfs_write_video,15554.59
sealfs_write_video,15553
sealfs_write_video,15552.03
sealfs_write_video,15551.18
sealfs_write_video,15548.49
sealfs_write_video,15546.42
sealfs_write_video,15546.25
sealfs_write_video,15546.21
sealfs_write_video,15544.65
sealfs_write_video,15543.96
sealfs_write_video,15542.76
sealfs_write_video,15540.29
sealfs_write_video,15539.64
sealfs_write_video,15539.03
sealfs_write_video,15538.71
sealfs_write_video,15538.34
sealfs_write_video,15537.53
sealfs_write_video,15537.39
sealfs_write_video,15535.96
sealfs_write_video,15535.91
sealfs_write_video,15534.38
sealfs_write_video,15533.89
sealfs_write_video,15533.84
sealfs_write_video,15533.43
sealfs_write_video,15532.67
sealfs_write_video,15531.12
sealfs_write_video,15530.81
sealfs_write_video,15530.52
sealfs_write_video,15529.98
sealfs_write_video,15529.77
sealfs_write_video,15526.83
sealfs_write_video,15526.78
sealfs_write_video,15526.03
sealfs_write_video,15524.76
sealfs_write_video,15524.04
sealfs_write_video,15523.05
sealfs_write_video,15522.98
sealfs_write_video,15521.53
sealfs_write_video,15521.11
sealfs_write_video,15520.63
sealfs_write_video,15519.29
sealfs_write_video,15518.32
sealfs_write_video,15517.52
sealfs_write_video,15517.33
sealfs_write_video,15515.7
sealfs_write_video,15515.45
sealfs_write_video,15515.3
sealfs_write_video,15514.96
sealfs_write_video,15514.48
sealfs_write_video,15514.16
sealfs_write_video,15512.97
sealfs_write_video,15512.59
sealfs_write_video,15512.48
sealfs_write_video,15509.56
sealfs_write_video,15509.36
sealfs_write_video,15508.08
sealfs_write_video,15508.05
sealfs_write_video,15507.08
sealfs_write_video,15506.53
sealfs_write_video,15505.26
sealfs_write_video,15503.57
sealfs_write_video,15502.81
sealfs_write_video,15501.3
sealfs_write_video,15500.57
sealfs_write_video,15499.95
sealfs_write_video,15499.82
sealfs_write_video,15499.65
sealfs_write_video,15498.74
sealfs_write_video,15498.5
sealfs_write_video,15497.69
sealfs_write_video,15497.19
sealfs_write_video,15496.61
sealfs_write_video,15495.51
sealfs_write_video,15494.85
sealfs_write_video,15494.63
sealfs_write_video,15494.61
sealfs_write_video,15494.44
sealfs_write_video,15494.34
sealfs_write_video,15494.2
sealfs_write_video,15494.03
sealfs_write_video,15493.76
sealfs_write_video,15493.4
sealfs_write_video,15493.01
sealfs_write_video,15492.57
sealfs_write_video,15492.49
sealfs_write_video,15492.25
sealfs_write_video,15492.17
sealfs_write_video,15491.25
sealfs_write_video,15489.61
sealfs_write_video,15489.6
sealfs_write_video,15489.11
sealfs_write_video,15488.77
sealfs_write_video,15488.37
sealfs_write_video,15488.24
sealfs_write_video,15488.13
sealfs_write_video,15487.92
sealfs_write_video,15487.32
sealfs_write_video,15486.99
sealfs_write_video,15486.94
sealfs_write_video,15486.26
sealfs_write_video,15485.67
sealfs_write_video,15485.41
sealfs_write_video,15484.8
sealfs_write_video,15484.51
sealfs_write_video,15484.21
sealfs_write_video,15484.16
sealfs_write_video,15483.96
sealfs_write_video,15483.81
sealfs_write_video,15483.28
sealfs_write_video,15481.74
sealfs_write_video,15481.34
sealfs_write_video,15481.08
sealfs_write_video,15481.01
sealfs_write_video,15480.82
sealfs_write_video,15479.31
sealfs_write_video,15479.29
sealfs_write_video,15479.01
sealfs_write_video,15478.34
sealfs_write_video,15477.33
sealfs_write_video,15477.24
sealfs_write_video,15477.08
sealfs_write_video,15476.57
sealfs_write_video,15475.93
sealfs_write_video,15474.83
sealfs_write_video,15474.02
sealfs_write_video,15473.97
sealfs_write_video,15473.57
sealfs_write_video,15472.98
sealfs_write_video,15472.47
sealfs_write_video,15471.64
sealfs_write_video,15471.57
sealfs_write_video,15471.36
sealfs_write_video,15471.09
sealfs_write_video,15470.92
sealfs_write_video,15470.91
sealfs_write_video,15470.8
sealfs_write_video,15470.14
sealfs_write_video,15469.73
sealfs_write_video,15469.6
sealfs_write_video,15469.21
sealfs_write_video,15469.15
sealfs_write_video,15467.5
sealfs_write_video,15467.27
sealfs_write_video,15466.14
sealfs_write_video,15465.86
sealfs_write_video,15465.15
sealfs_write_video,15465.07
sealfs_write_video,15464.58
sealfs_write_video,15463.18
sealfs_write_video,15463.11
sealfs_write_video,15461.73
sealfs_write_video,15461.39
sealfs_write_video,15461.3
sealfs_write_video,15460.55
sealfs_write_video,15460.31
sealfs_write_video,15460.08
sealfs_write_video,15459.72
sealfs_write_video,15459.15
sealfs_write_video,15458.17
sealfs_write_video,15458.04
